CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
27779,66,97,1-66-2022-097-07,7,1,1,76,0,12,0,0,888,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,-15,12,2,1,80 left of center to 50 right of center,80 left of center to 50 right of center,5 left of center,170,0,170,-15,130,0,0,0,0,0,0,0,,,138.884824,6,7
27779,66,97,1-66-2022-097-07,7,1,2,76,340,11,0,0,888,11LFLN01,L,F,L,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,50 aft left front wheel extending rearward,50 aft left front wheel extending rearward,50 aft left front axle,999,999,999,999,10,999,999,999,999,999,999,999,,,138.884824,6,7
25985,26,65,1-26-2022-065-02,2,1,1,63,0,12,0,0,888,12FRWN03,F,R,W,N,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,RF rim,RF rim,not measured,999,999,999,999,999,999,999,999,999,999,999,999,,,68.47263071,10,7
25988,48,10,1-48-2022-010-07,7,2,2,1,70,2,0,0,888,02RPEW02,R,P,E,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,7,2,Center of front passenger door,Center of front passenger door,Center of passenger door.,999,999,999,999,70,999,999,999,999,999,999,999,,,940.828093,12,7
25988,48,10,1-48-2022-010-07,7,1,1,2,310,10,0,0,20,10LBLW02,L,B,L,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,2,1,Begins 20cm rear of the left rear axle extends rearward,Begins 20cm rear of the left rear axle extends rearward,90cm rear of rear axel,107,-236,107,-252,69,36,22,27,31,34,11,0,,,940.828093,12,7
25988,48,10,1-48-2022-010-07,7,2,1,1,10,12,0,0,145,12FDEW03,F,D,E,W,03,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,26,3,1,Bumper corner to bumper corner.,Bumper corner to bumper corner.,35 right of center,99,0,146,0,146,21,12,15,11,13,13,12,,,940.828093,12,7
25991,24,72,1-24-2022-072-07,7,2,1,1,310,10,0,0,90,10LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,3,4,-2,3,2424,998,-174,4,0,1,Starts 40cm after of left rear axel going forward,Starts 40cm after of left rear axel going forward,43cm forward of left rear axel,121,-119,121,-119,121,0,0,0,0,0,0,0,,,6380.323533,1,7
25999,28,43,1-28-2022-043-04,4,1,3,42,0,12,0,0,888,12FZEW01,F,Z,E,W,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,1,2cm right of center extending right 43cm,2cm right of center extending right 43cm,24cm right of center,121,0,158,24,43,17,0,0,0,10,17,0,,,80.4317383,3,7
25999,28,43,1-28-2022-043-04,4,1,1,41,10,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,53cm right of center extending right 21cm,53cm right of center extending right 21cm,60cm right of center,999,999,999,999,21,999,999,999,999,999,999,999,,,80.4317383,3,7
24705,59,6,1-59-2022-006-03,3,2,1,1,50,2,0,0,5,02RFEW02,R,F,E,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,10,2,1,45 cm forward right front axle extending rearward 55 cm,45 cm forward right front axle extending rearward 55 cm,45 cm forward right front axle,93,133,93,152,55,22,0,0,0,5,9,22,,,1205.549321,6,7
27507,17,104,1-17-2022-104-03,3,1,1,2,260,9,0,0,110,09LPAW02,L,P,A,W,02,0,1,1,0,30,56,20,1,16,3,16,25273,998,-22,19,0,1,Begins 90 cm behind left front axle and extends rearward,Begins 90 cm behind left front axle and extends rearward,200 cm behind left front axle,218,-21,218,-20,156,25,2,16,22,3,4,0,,,149.7642903,4,7
27507,17,104,1-17-2022-104-03,3,2,1,1,30,1,0,0,160,01FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,19,-16,-9,26444,998,-103,17,0,1,Bumper corner to bumper corner,Bumper corner to bumper corner,Right front bumper corner,156,0,156,0,156,20,0,0,0,7,11,20,,,149.7642903,4,7
27507,17,104,1-17-2022-104-03,3,1,2,31,998,0,0,0,888,00TDDO02,T,D,D,O,02,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,6,2,Roof rail to roof rail,Roof rail to roof rail,Right windshield header,888,888,888,888,888,,,,,,,,4,8,149.7642903,4,7
27507,17,104,1-17-2022-104-03,3,1,3,2,998,0,0,0,888,00UF9999,U,F,9,9,99,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,9,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,149.7642903,4,7
27507,17,104,1-17-2022-104-03,3,2,3,1,10,12,0,0,888,12RPES01,R,P,E,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,149.7642903,4,7
27587,17,107,1-17-2022-107-06,6,1,1,2,20,1,0,0,230,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,34,-32,-11,253695,998,-84,45,0,1,bumper corner to bumper corner,bumper corner to bumper corner,3cm left of center,178,0,178,0,178,65,48,38,44,65,28,7,,,125.4715788,4,7
25999,28,43,1-28-2022-043-04,4,1,2,41,998,0,0,0,888,00FRLW09,F,R,L,W,09,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,80.4317383,3,7
26002,13,76,1-13-2022-076-02,2,1,2,46,10,12,0,0,888,12RBEW01,R,B,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Starts 15cm rear of the RR axle; extends rearward,Starts 15cm rear of the RR axle; extends rearward,52cm rear of the RR axle,999,999,999,999,64,999,999,999,999,999,999,999,,,60.02228064,7,7
26002,13,76,1-13-2022-076-02,2,1,4,46,340,11,0,0,888,11LYAW02,L,Y,A,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Starts 94cm forward of the LR axle; extends forward,Starts 94cm forward of the LR axle; extends forward,216cm forward of the LR axle,999,999,999,999,197,999,999,999,999,999,999,999,,,60.02228064,7,7
26002,13,76,1-13-2022-076-02,2,1,3,46,0,12,0,0,888,12F99999,F,9,9,9,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,9,8,"Unknown, overlapping damage from event #6","Unknown, overlapping damage from event #6","Unknown, overlapping damage from event #6",999,999,999,999,999,999,999,999,999,999,999,999,,,60.02228064,7,7
26002,13,76,1-13-2022-076-02,2,1,6,45,0,12,0,0,888,12FYEN03,F,Y,E,N,03,8,8,8,8,888,888,888,1,56,-56,0,214750,998,-27,56,0,1,Starts 7cm left of center; extends left.,Starts 7cm left of center; extends left.,44cm left of center,115,0,150,-27,39,78,29,62,70,43,21,0,,,60.02228064,7,7
26002,13,76,1-13-2022-076-02,2,1,5,63,0,12,0,0,888,12FLWN03,F,L,W,N,03,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,7,8,Left front wheel,Left front wheel,Left frontr tire/rim,999,999,999,999,999,999,999,999,999,999,999,999,,,60.02228064,7,7
26002,13,76,1-13-2022-076-02,2,1,1,46,0,12,0,0,888,12RYAS02,R,Y,A,S,02,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,60.02228064,7,7
27587,17,107,1-17-2022-107-06,6,2,1,1,330,11,0,0,95,11FYEW02,F,Y,E,W,02,8,8,8,8,888,888,888,1,57,-49,28,128317,998,67,41,0,1,begins 5cm left of center extends to the left,begins 5cm left of center extends to the left,left front bumper corner,115,0,160,-42,75,49,34,32,26,20,14,8,,,125.4715788,4,7
24785,12,10,1-12-2022-010-06,6,1,1,2,30,1,1,0,50,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,26,-23,-13,50420,998,-98,27,0,1,"Starts 77 cm left of center, extends 134 cm right","Starts 77 cm left of center, extends 134 cm right",2 cm left of center,100,0,154,-10,134,32,0,10,21,29,17,3,,,398.6507722,9,7
24785,12,10,1-12-2022-010-06,6,2,1,1,350,12,0,0,270,12FLEW01,F,L,E,W,01,8,8,8,8,888,888,888,1,14,-14,3,14935,998,-16,13,0,1,"Starts 32 cm left of center, extends 50 cm left","Starts 32 cm left of center, extends 50 cm left",82 cm left of center,160,0,174,-57,50,4,4,0,0,0,0,3,,,398.6507722,9,7
27246,30,88,1-30-2022-088-03,3,1,3,3,270,9,0,0,0,09LYEW03,L,Y,E,W,03,1,0,0,0,20,10,10,98,999,999,999,9999999,999,999,999,6,2,begins 124cm forward of the left rear axle,begins 124cm forward of the left rear axle,220cm forward of the left rear axle,999,999,999,999,121,999,999,999,999,999,999,999,,,365.4560142,10,7
27246,30,88,1-30-2022-088-03,3,1,4,4,270,9,0,0,0,09LYEW03,L,Y,E,W,03,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,365.4560142,10,7
26005,10,73,1-10-2022-073-01,1,1,1,42,40,1,0,0,888,01RDAW99,R,D,A,W,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,1,Right Plane,Right Plane,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,63.1669546,4,7
26011,59,31,1-59-2022-031-06,6,1,1,2,60,2,1,0,250,02FZEW01,F,Z,E,W,01,8,8,8,8,888,888,888,1,12,-6,-10,28217,998,-166,12,0,1,Right front bumper corner extending 60 cm left,Right front bumper corner extending 60 cm left,5cm left of right front bumper corner,94,0,160,48,60,11,1,2,6,9,11,6,,,278.1095651,6,7
26011,59,31,1-59-2022-031-06,6,2,1,1,310,10,0,0,180,10LZEW02,L,Z,E,W,02,0,0,1,0,40,46,3,1,9,-6,7,11502,998,-158,8,0,1,Begins 233 cm rear of left front axle extending 158 cm rearward,Begins 233 cm rear of left front axle extending 158 cm rearward,275 cm rear of left front axle,229,-156,229,-92,158,13,1,0,0,0,13,3,,,278.1095651,6,7
26019,19,78,1-19-2022-078-03,3,1,1,2,0,12,0,0,170,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,3,15,-15,0,16820,998,-31,15,0,1,Begins 26cm right of center and continues left,Begins 26cm right of center and continues left,24cm left of center,162,0,165,-31,113,3,3,3,3,2,0,0,,,116.3690951,9,7
26022,27,42,1-27-2022-042-04,4,1,1,76,340,11,0,0,888,11LYAW02,L,Y,A,W,02,8,8,8,8,888,888,888,10,999,999,999,9999999,999,-68,7,1,1,Begins 96 cm forward left rear axle extends forward,Begins 96 cm forward left rear axle extends forward,236 cm forward left rear axle,162,66,162,74,236,3,0,2,1,0,2,3,,,167.1754769,3,7
26022,27,42,1-27-2022-042-04,4,1,2,76,340,11,0,0,888,11FYGW06,F,Y,G,W,06,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,7,2,Begins at center of windshield extends left,Begins at center of windshield extends left,Left windshield,999,999,999,999,999,999,999,999,999,999,999,999,,,167.1754769,3,7
26025,12,30,1-12-2022-030-03,3,1,4,42,270,9,0,0,888,09LPEW02,L,P,E,W,02,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,"Stats 93 cm forward of left rear axle, extends 104 cm forward.","Stats 93 cm forward of left rear axle, extends 104 cm forward.",153 cm forward of left rear axle.,999,999,999,999,104,999,999,999,999,999,999,999,,,1203.551624,9,7
25778,12,26,1-12-2022-026-07,7,1,1,2,10,12,0,0,175,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,18,-17,-3,25311,998,-27,21,0,1,"Starts 68 cm left of center, extends 146 cm right","Starts 68 cm left of center, extends 146 cm right",At center of vehicle,156,0,156,5,146,18,3,0,15,11,0,7,,,2579.663254,9,7
25778,12,26,1-12-2022-026-07,7,2,1,1,300,10,0,0,65,10LYEW01,L,Y,E,W,01,8,8,8,8,888,888,888,1,13,-6,11,5776,998,33,8,0,1,Starts 170 cm forward of left rear axle. Extends forward 154 cm.,Starts 170 cm forward of left rear axle. Extends forward 154 cm.,242 cm forward of left rear axle.,108,130,108,107,154,6,0,6,6,2,2,2,,,2579.663254,9,7
26133,12,32,1-12-2022-032-03,3,1,6,42,260,9,0,0,888,09LBAN03,L,B,A,N,03,8,8,8,8,888,888,888,1,10,2,10,19125,998,-181,10,0,1,"Starts 302 cm rearward of left front axle, extends rearward 48 cm.","Starts 302 cm rearward of left front axle, extends rearward 48 cm.",324 cm rearward of left front axle.,48,-181,48,-180,34,29,9,16,26,29,21,11,,,1417.414845,9,7
26133,12,32,1-12-2022-032-03,3,1,1,41,0,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,1417.414845,9,7
26133,12,32,1-12-2022-032-03,3,1,2,46,0,12,0,0,888,12FREE03,F,R,E,E,03,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,8,"Starts 60 cm right of center, extends 22 cm right.","Starts 60 cm right of center, extends 22 cm right.",70 cm right of center,999,999,999,999,22,999,999,999,999,999,999,999,,,1417.414845,9,7
