CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
10897,24,53,1-24-2018-053-08,8,1,1,2,40,1,1,2,205,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,9,999,999,999,9999999,999,999,999,8,1,frame rail to frame rail corners,frame rail to frame rail corners,not measured,138,0,138,0,138,999,999,999,999,999,999,999,,,166.2426024,1,3
9524,14,11,1-14-2018-011-02,2,2,1,1,0,12,0,0,210,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,87,-87,0,396158,998,0,85,0,1,59cm LOC and and goes right,Starts 59 cm LOC and go right,center,119,0,148,0,119,76,63,74,75,76,57,51,,,186.3328161,8,3
11508,17,109,1-17-2018-109-01,1,1,1,2,350,12,1,0,150,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,69,5,1,BC TO BC,BC TO BC,34CM L OF C,134,0,134,0,134,93,93,89,71,50,34,17,,,154.0144055,4,3
11024,26,88,1-26-2018-088-05,5,1,3,2,350,12,0,0,170,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,73,-71,13,434254,998,33,75,0,1,52 CM LEFT OF FCP MOVING RIGHT,ENTIRE FRONT,42 CM LEFT OF FCP,119,0,148,-4,97,67,67,66,55,47,35,16,,,59.22673265,10,3
11990,77,40,1-77-2018-040-06,6,1,1,2,350,12,0,0,295,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,40,-39,7,118650,998,9,48,0,1,"48cm right of centerline, continueing left to LFBC",BC to BC,LFBC,112,0,150,-23,124,93,93,48,39,19,3,7,,,558.8135359,9,3
9832,59,23,1-59-2018-023-01,1,2,1,1,0,12,0,0,290,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,79,-79,0,507934,998,-17,90,0,1,Front Left Rebar BC extending right 86cm,Front Rebar BC to BC,48cm right of Front Left Rebar BC,120,0,142,-17,86,107,98,107,105,95,80,31,,,94.21185073,6,3
9804,21,26,1-21-2018-026-08,8,1,1,2,20,1,0,0,330,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,53,-50,-18,271589,998,-68,53,0,1,BC to BC,RBC to RBC,30cm R of center,122,0,156,0,156,78,0,10,32,56,72,78,,,119.4070998,11,3
10706,17,78,1-17-2018-078-01,1,1,2,56,0,12,0,0,888,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,8,1,BC to BC,BC to BC,18cm L of C,80,0,146,0,146,115,86,107,115,95,76,53,,,132.8711448,4,3
11517,22,56,1-22-2018-056-01,1,1,2,42,0,12,0,0,888,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,58,-58,0,269309,998,-4,58,0,1,Begins 46cm ROC Extending to the Left,BC to BC,12 cm left of center,85,0,162,-4,74,68,43,55,68,58,29,11,,,71.152224,12,3
11404,77,21,1-77-2018-021-02,2,1,1,2,350,12,0,0,355,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,64,-63,11,195088,998,9,62,0,1,Begs 27cm ROC and moves left,BC to BC (rebar corner to rebar corner),10cm left of centerline,124,0,150,-24,102,56,50,56,55,49,20,0,,,191.4242902,9,3
9345,66,5,1-66-2018-005-01,1,1,1,2,20,1,1,7,110,01FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,7,1,30cm ROC to LFBC,BC to BC,Left BC,143,0,143,-21,102,51,51,0,0,0,0,0,,,397.6873529,6,3
