CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
12065,27,70,1-27-2018-070-06,6,1,LF,103,PRIMACY,P215/55R17,B93F 01UX1413,5,1,1,145.336049,3,3
12065,27,70,1-27-2018-070-06,6,1,RF,103,PRIMACY,P215/55R17,B93F 01UX1413,5,0,1,145.336049,3,3
12065,27,70,1-27-2018-070-06,6,1,LR,103,PRIMACY,P215/55R17,B93F 01UX1413,5,0,1,145.336049,3,3
12065,27,70,1-27-2018-070-06,6,1,RR,103,PRIMACY,P215/55R17,B93F 01UX1413,5,0,1,145.336049,3,3
12153,33,92,1-33-2018-092-08,8,1,LF,57,Wildpeak A/T,LT325/65R18,R8VP PMDV2116,10,1,2,336.3548421,12,3
12153,33,92,1-33-2018-092-08,8,1,LR,57,Wildpeak A/T,LT325/65R18,R8VP PMDV2116,8,0,2,336.3548421,12,3
12153,33,92,1-33-2018-092-08,8,1,RR,57,Wildpeak A/T,LT325/65R18,R8VP PMDV2116,9,1,2,336.3548421,12,3
12153,33,92,1-33-2018-092-08,8,1,RF,57,Wildpeak A/T,LT325/65R18,R8VP PMDV2116,10,0,2,336.3548421,12,3
12137,12,74,1-12-2018-074-02,2,1,LF,156,HTR ENHANCE C/X,P225/65R17,R8F5 DDER0718,8,1,1,264.6494757,9,3
12137,12,74,1-12-2018-074-02,2,1,LR,156,HTR ENHANCE C/X,P225/65R17,R8F5 DDER0718,7,0,1,264.6494757,9,3
12137,12,74,1-12-2018-074-02,2,1,RF,156,HTR ENHANCE C/X,P225/65R17,R8F5 DDER0718,8,0,1,264.6494757,9,3
12137,12,74,1-12-2018-074-02,2,1,RR,156,HTR ENHANCE C/X,P225/65R17,R8F5 DDER0718,8,0,1,264.6494757,9,3
11678,59,68,1-59-2018-068-05,5,2,LF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,325.2881132,6,3
11678,59,68,1-59-2018-068-05,5,2,RF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,325.2881132,6,3
11678,59,68,1-59-2018-068-05,5,2,LR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,325.2881132,6,3
11678,59,68,1-59-2018-068-05,5,2,RR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,325.2881132,6,3
12136,12,73,1-12-2018-073-03,3,1,LF,103,LATTITUDE TOUR,P235/65R18,B9MB 002X1114,7,0,1,1707.371977,9,3
12136,12,73,1-12-2018-073-03,3,1,LR,103,LATTITUDE TOUR,P235/65R18,B9MB 002X1114,7,0,1,1707.371977,9,3
12136,12,73,1-12-2018-073-03,3,1,RR,103,LATTITUDE TOUR,P235/65R18,B9MB 02BX,7,0,1,1707.371977,9,3
12136,12,73,1-12-2018-073-03,3,1,RF,103,LATTITUDE TOUR,P235/65R18,B9MB 002X1114,7,0,1,1707.371977,9,3
12119,24,101,1-24-2018-101-06,6,1,LF,66,Altima RT 43,P235/65R17,VY81 WBMJ1216,6,0,1,570.062253,1,3
12119,24,101,1-24-2018-101-06,6,1,RF,66,Altima RT 43,P235/65R17,VY81 WBMJ1216,5,0,1,570.062253,1,3
12119,24,101,1-24-2018-101-06,6,1,LR,66,Altima RT 43,P235/65R17,VY81 WBMJ1216,6,0,1,570.062253,1,3
12119,24,101,1-24-2018-101-06,6,1,RR,66,Altima RT 43,P235/65R17,VY81 WBMJ1216,5,0,1,570.062253,1,3
