CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
9277,16,11,1-16-2018-011-03,3,1,0,142.326154280736,5,3
9277,16,11,1-16-2018-011-03,3,2,0,142.326154280736,5,3
9261,66,3,1-66-2018-003-06,6,2,0,110.979814244701,6,3
9282,59,9,1-59-2018-009-07,7,2,0,1121.16428614722,6,3
9285,32,16,1-32-2018-016-06,6,1,0,774.069983203631,7,3
9239,76,2,1-76-2018-002-02,2,1,0,386.571890316254,3,3
9286,10,9,1-10-2018-009-02,2,2,0,32.4557455551948,4,3
9288,12,8,1-12-2018-008-07,7,1,0,2206.75524882669,9,3
9289,19,11,1-19-2018-011-05,5,2,0,54.7319534917023,9,3
9299,17,13,1-17-2018-013-04,4,1,0,1180.18274208492,4,3
9298,17,12,1-17-2018-012-02,2,1,0,63.3469708223775,4,3
9294,29,8,1-29-2018-008-04,4,2,0,2960.97573522552,2,3
9298,17,12,1-17-2018-012-02,2,2,0,63.3469708223775,4,3
9296,26,9,1-26-2018-009-07,7,1,0,468.847109878886,10,3
9297,26,10,1-26-2018-010-06,6,1,0,155.649179951799,10,3
9305,25,6,1-25-2018-006-01,1,1,0,96.2375835145362,2,3
9304,27,6,1-27-2018-006-09,9,1,0,621.269214279464,3,3
9303,13,15,1-13-2018-015-03,3,1,0,1269.72929176768,7,3
9266,21,8,1-21-2018-008-03,3,1,0,29.4463271254006,11,3
9303,13,15,1-13-2018-015-03,3,2,0,1269.72929176768,7,3
9302,13,14,1-13-2018-014-03,3,2,0,1269.72929162036,7,3
9308,18,6,1-18-2018-006-07,7,1,0,1558.821348562,6,3
9301,13,13,1-13-2018-013-03,3,2,0,1269.72929162036,7,3
9309,18,7,1-18-2018-007-06,6,3,0,403.153150746744,6,3
9290,19,12,1-19-2018-012-06,6,2,0,449.594336290463,9,3
9290,19,12,1-19-2018-012-06,6,3,0,449.594336290463,9,3
9311,30,8,1-30-2018-008-06,6,2,0,1017.79652567374,10,3
9319,33,10,1-33-2018-010-06,6,1,0,88.2610712425701,12,3
9314,15,10,1-15-2018-010-06,6,1,0,456.693419699971,1,3
9320,33,11,1-33-2018-011-05,5,1,0,28.9441844864407,12,3
9312,21,9,1-21-2018-009-04,4,2,0,684.739806402225,11,3
9318,20,12,1-20-2018-012-02,2,2,0,26.8025465982331,11,3
9317,20,11,1-20-2018-011-03,3,1,0,276.854004769966,11,3
9324,30,9,1-30-2018-009-03,3,1,0,766.813703474206,10,3
9316,20,10,1-20-2018-010-04,4,1,0,568.723541294112,11,3
9152,76,1,1-76-2018-001-10,10,1,0,701.421574034204,3,3
9742,22,17,1-22-2018-017-10,10,1,0,1418.69847826599,12,3
9751,20,32,1-20-2018-032-08,8,2,0,109.964093263989,11,3
9753,33,30,1-33-2018-030-10,10,2,0,490.80877600669,12,3
9725,10,17,1-10-2018-017-05,5,2,0,31.9877090137702,4,3
9728,26,29,1-26-2018-029-04,4,2,0,5456.94030161504,10,3
9734,13,34,1-13-2018-034-04,4,2,0,3613.06733892741,7,3
9745,33,27,1-33-2018-027-05,5,2,0,28.9441844864407,12,3
9744,16,33,1-16-2018-033-05,5,1,0,26.104970513616,5,3
9748,30,20,1-30-2018-020-02,2,1,0,115.412917970615,10,3
9748,30,20,1-30-2018-020-02,2,2,0,115.412917970615,10,3
9736,13,36,1-13-2018-036-03,3,1,0,1094.68547836034,7,3
9749,21,24,1-21-2018-024-02,2,1,0,46.7739426842037,11,3
