CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28153,52,1,1-52-2023-001-03,3,1,8,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,9,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,1,10,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,1,1,1,99,1,0,1,0,0,50,9,9,1,34,-33,6,158694,998,49,0,1,1,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.21064721,12,8
28153,52,1,1-52-2023-001-03,3,2,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.21064721,12,8
28155,28,1,1-28-2023-001-10,10,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,37.47575523,3,8
28155,28,1,1-28-2023-001-10,10,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,37.47575523,3,8
28156,23,1,1-23-2023-001-06,6,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,343.205994,5,8
28156,23,1,1-23-2023-001-06,6,1,2,8,1,99,1,0,1,0,2,97,9,9,1,999,999,999,9999999,999,999,6,1,1,343.205994,5,8
28156,23,1,1-23-2023-001-06,6,1,3,5,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,6,1,1,343.205994,5,8
28156,23,1,1-23-2023-001-06,6,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,343.205994,5,8
28156,23,1,1-23-2023-001-06,6,1,5,5,1,99,1,0,0,0,0,50,,,,,,,,,,,,,343.205994,5,8
28156,23,1,1-23-2023-001-06,6,1,6,8,1,99,1,0,1,0,0,50,,,,,,,,,,,,,343.205994,5,8
28160,66,1,1-66-2023-001-04,4,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,246.0456608,6,8
28160,66,1,1-66-2023-001-04,4,1,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,246.0456608,6,8
28160,66,1,1-66-2023-001-04,4,1,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,246.0456608,6,8
28160,66,1,1-66-2023-001-04,4,1,4,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,246.0456608,6,8
28160,66,1,1-66-2023-001-04,4,1,5,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,246.0456608,6,8
28160,66,1,1-66-2023-001-04,4,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,246.0456608,6,8
28162,18,1,1-18-2023-001-10,10,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,24,2,1,1,880.819179,6,8
28162,18,1,1-18-2023-001-10,10,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,880.819179,6,8
28162,18,1,1-18-2023-001-10,10,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,880.819179,6,8
