CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
31791,13,121,1-13-2023-121-05,5,1,292,482,194,2062,163,88,102,160,6,3.6,2,2,0,1,99,94.53075357,7,8
31799,76,99,1-76-2023-099-03,3,1,281,509,185,1630,158,110,120,999,6,3.5,2,1,9,0,61,39.43615092,3,8
31799,76,99,1-76-2023-099-03,3,2,275,486,190,1705,159,101,111,999,4,2.5,2,4,0,0,56,39.43615092,3,8
31825,15,187,1-15-2023-187-02,2,1,282,473,181,1565,156,88,103,999,4,2.0,2,4,0,0,56,85.49280198,1,8
31828,15,190,1-15-2023-190-02,2,1,270,464,180,1256,154,91,104,999,4,2.0,2,1,9,0,61,11.00865637,1,8
31828,15,190,1-15-2023-190-02,2,2,267,454,180,1356,151,96,91,999,4,99.0,2,1,9,0,60,11.00865637,1,8
31854,10,153,1-10-2023-153-04,4,1,284,500,186,1785,157,102,114,999,4,2.4,2,1,9,0,58,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,2,277,481,182,1441,159,96,108,999,4,2.5,2,1,9,0,60,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,3,263,441,176,1423,152,88,89,150,4,2.4,2,1,0,0,56,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,4,305,509,190,2066,163,88,117,999,8,5.0,2,2,9,0,50,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,5,295,505,200,2211,167,96,116,999,8,5.3,2,3,9,0,53,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,6,272,467,182,1236,160,90,106,150,4,2.0,2,1,9,0,61,1895.63528,4,8
31854,10,153,1-10-2023-153-04,4,7,270,453,178,1265,156,87,97,999,4,1.8,2,1,9,0,62,1895.63528,4,8
31862,59,127,1-59-2023-127-07,7,1,305,504,191,1886,162,89,110,168,6,3.6,2,4,0,0,56,651.343756,6,8
31865,66,80,1-66-2023-080-03,3,2,266,459,185,1502,161,91,101,136,4,1.5,2,1,0,0,58,106.5525486,6,8
31885,11,75,1-11-2023-075-01,1,1,249,395,169,1043,147,81,65,999,4,1.5,1,1,9,0,62,181.0506566,8,8
31114,21,80,1-21-2023-080-02,2,1,262,430,176,1200,153,87,82,999,4,1.6,2,1,9,0,61,28.07791527,11,8
31114,21,80,1-21-2023-080-02,2,2,262,449,174,1194,153,88,99,150,4,1.6,2,1,0,0,61,28.07791527,11,8
31117,77,77,1-77-2023-077-05,5,1,279,482,193,2111,160,91,112,160,6,4.0,2,3,0,0,54,154.9380307,9,8
