CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,VPICMAKE,VPICMODEL,VPICBODYCLASS,ICFINALBODY,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,INSPLAG,TOWED,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJSEV,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,SHLDRWIDTH,STRKLENGTH,STRKWIDTH,STRKHEIGHT,EDGEDISTX,EDGEDISTY,EDGEDISTZ,CASEWGT,PSUSTRAT,VERSION
30998,15,147,1-15-2023-147-06,6,1,SHSRD78854U2,17,474,1865,7,0,37,402,2004,14,3,14,0,1,R,9,1480,5,9999,9,0,998,2,999,1,8,0,995,0,7,0,11550,9,9,2,4,3,2,2,1,1,1,1,2,0,0,3,1,0,0,9,0,11,2,15,99,1,1,4,J,68,0,0,0,0,0,0,0,0,0,0,95,355,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,86.10520154,1,8
30998,15,147,1-15-2023-147-06,6,2,1C4RDJDG3JC1,17,476,3508,7,0,7,422,2018,15,3,15,0,1,F,9,2262,5,9999,9,0,998,2,999,1,8,1,0,2,7,1,11757,9,1,2,1,1,1,2,1,3,1,1,2,0,0,3,1,0,0,9,1,14,4,62,99,1,2,4,J,69,0,0,0,0,0,0,0,0,0,0,355,95,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,0,0,0,0,3,0,995,9.8,998,998,998,99.8,99.8,99.8,86.10520154,1,8
31000,31,65,1-31-2023-065-08,8,1,1FMPU15L63LB,17,460,1799,7,0,12,422,2003,15,3,15,0,1,F,3,2579,5,9999,9,1,117,2,89,1,8,1,0,2,7,2,62946,9,9,0,4,2,1,2,1,2,4,1,2,0,0,1,1,0,0,9,1,14,2,12,99,1,4,1,B,6,0,0,0,0,0,0,0,0,0,0,998,998,0,0,1,1,98,999,999,999,9999999,999,999,999,8,0,5,43,1,1,3,0,998,0.6,34,34,-120,18.3,9.8,20.7,249.1998599,6,8
31002,22,57,1-22-2023-057-06,6,1,5TFDW5F13EX3,17,448,2467,60,0,49,482,2014,34,5,31,0,1,F,1,2480,5,9999,9,0,998,5,56,1,0,0,995,0,0,0,83843,9,9,2,4,2,1,2,1,1,2,0,0,0,0,1,1,0,0,9,1,11,2,15,99,1,2,3,G,52,0,0,0,0,0,0,0,0,0,0,30,195,0,0,0,1,3,15,-15,0,19440,998,0,14,0,4,95,95,95,95,95,0,995,9.8,998,998,998,99.8,99.8,99.8,82.04645096,12,8
31002,22,57,1-22-2023-057-06,6,2,5N1AZ2MH8HN1,17,478,1914,8,0,35,49,2017,6,1,4,0,1,F,1,1787,5,0,1,1,3,2,56,1,0,0,995,0,0,1,83871,1,2,2,4,2,1,2,1,1,4,0,0,0,0,1,1,3,2,1,0,10,4,67,2,1,1,3,G,52,0,0,0,0,0,0,0,0,0,0,195,30,0,0,0,1,3,20,-20,-3,30395,998,-18,20,0,4,1,1,0,1,4,0,995,9.8,998,998,998,99.8,99.8,99.8,82.04645096,12,8
31003,22,58,1-22-2023-058-04,4,1,4S4WMARD1L34,17,523,24836,7,0,48,421,2020,15,3,15,0,1,R,1,2051,5,79,2,5,9,2,105,1,0,0,995,0,0,0,99203,1,2,0,4,2,1,2,1,1,1,1,4,2,3,2,1,0,0,1,0,1,6,87,5,1,1,1,C,13,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,12,999,999,999,9999999,999,999,999,6,0,0,0,0,0,0,0,998,9.8,998,998,998,99.8,99.8,99.8,84.65668338,12,8
31004,31,67,1-31-2023-067-08,8,1,2GCEC19T4111,17,467,1850,60,0,20,481,2001,34,5,31,0,1,F,2,1980,5,9999,9,1,76,2,89,1,0,0,995,0,0,0,62919,1,9,0,4,2,1,2,99,2,1,1,4,0,0,1,1,0,0,3,1,14,2,12,99,1,4,1,B,6,1,4,1,6,99,4,99,9,1,15,998,998,0,1,9,1,12,999,999,999,9999999,999,999,999,7,0,2,6,0,1,3,9,998,0.3,13,13,60,22.3,15.2,27.0,249.1998599,6,8
31005,31,68,1-31-2023-068-06,6,1,5NPE34AF7FH0,17,498,2459,13,0,55,33,2015,4,1,4,0,1,9,9,1590,5,9999,9,0,998,2,89,1,0,0,995,0,0,0,62931,9,9,0,4,2,1,2,1,3,2,0,0,0,0,2,1,0,0,9,1,14,2,13,99,9,4,1,A,5,9,99,9,9,99,9,99,9,9,999,997,997,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,3,11,1,3,6,9,997,9.8,998,998,998,99.8,99.8,99.8,636.2822993,6,8
31008,21,74,1-21-2023-074-08,8,1,1GB3CVBK2AF1,17,467,1850,65,11,20,481,2010,34,5,31,0,1,T,1,2379,5,9999,9,1,38,2,105,1,0,1,0,2,0,1,91768,9,1,0,4,2,1,2,1,1,3,1,2,3,3,1,1,0,0,9,1,6,1,8,99,4,4,1,B,7,1,4,2,6,1,4,61,1,1,28,997,997,0,0,0,2,6,999,999,999,9999999,999,999,999,6,0,4,29,1,2,3,3,997,2.5,999,27,120,12.5,12.0,17.3,309.1215139,11,8
31011,26,85,1-26-2023-085-09,9,1,4TASN92N9YZ6,17,448,2223,60,0,49,472,2000,34,5,30,0,1,9,9,1488,5,9999,9,0,998,2,40,1,1,9,998,8,7,9,95823,9,1,0,4,2,1,2,1,3,1,0,2,0,0,3,1,0,0,9,1,14,2,13,99,9,4,1,A,1,0,0,0,0,0,0,0,0,0,0,998,998,0,0,1,99,0,999,999,999,9999999,999,999,999,9,0,99,99,0,0,99,0,998,0.0,65,2,35,4.0,1.3,4.2,1245.936707,10,8
