CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
18689,18,57,1-18-2020-057-09,9,419.6925423,416.7668807,419.2594179,417.0315549,422.3004499,413.3210653,424.0095227,411.5329888,416.7668807,420.7261512,429.9726017,418.1083301,411.5309373,424.5537038,0,830.3419603,436.3448425,416.8673756,427.7194546,440.6018456,449.5222012,392.3744597,369.8073413,502.9605871,416.7668807,420.3916186,416.7817509,419.3277717,428.8116676,407.0135317,417.936976,417.6652804,417.763630600609,6,5
18692,29,115,1-29-2020-115-04,4,242.5941873,239.0140908,491.2012636,0,240.7870858,240.7858544,240.8138063,240.759315,239.541825,242.0466668,247.5184476,234.7449417,240.8375265,243.7444962,240.8373983,240.7390765,233.8263845,248.6648136,247.1111659,258.7501094,240.8335758,240.740327,241.5702329,240.7230545,235.2525097,245.9634684,241.5124452,240.0664241,240.7331561,240.8388845,240.7320655,240.8407027,240.786463367145,2,5
18695,30,104,1-30-2020-104-01,1,31.44927099,31.25481238,32.04621312,30.6947244,31.35160185,31.35160185,31.35160185,31.35160185,30.92921083,31.84766233,30.60562183,32.15033081,31.35160185,31.43043267,31.35160185,31.35160185,31.57694306,31.16843688,29.35073913,33.49509654,32.4540578,31.35160185,31.35160185,32.00856873,0,62.24427549,31.45489386,31.24898601,31.35160185,31.35160185,31.35160185,31.35160185,31.3516018532609,10,5
18752,76,62,1-76-2020-062-07,7,91.46489957,91.1868538,91.44102145,91.19788894,186.659483,0,91.15562019,91.4321247,91.29607432,91.28962602,92.77631414,91.29271251,90.29801813,92.3272673,99.63692665,84.54746582,94.85659177,92.02999475,93.62309268,97.09971994,93.31336089,89.38730586,106.4541255,81.19572469,91.58492294,91.14274502,91.31861426,91.26784806,90.20205543,92.55196282,93.02512315,89.55039008,91.2930141029235,3,5
18755,31,54,1-31-2020-054-05,5,269.9233546,269.9233546,269.9233546,269.9233546,272.6019539,267.2938091,269.3833276,270.4602669,269.9233546,269.9233546,269.9233546,269.9233546,0,485.8709926,272.934654,267.2521258,275.7047708,269.9233546,270.6822363,269.9233546,273.8210392,266.1687894,257.2294829,291.7228266,269.9233546,269.9233546,269.9233546,269.9233546,273.0723455,266.8510697,273.2660212,266.6356706,269.923354614168,6,5
18758,33,65,1-33-2020-065-09,9,632.8115974,628.4002906,632.1585332,628.7993657,636.7437954,623.2046968,639.320732,620.5086386,628.4002906,634.3700709,648.311851,630.4229253,620.5055453,640.1412473,634.8609237,625.9939948,657.9199033,628.5518166,644.9145601,664.3386042,677.7886989,591.6214456,557.5947886,758.3629931,628.4002906,633.8656634,628.4227119,632.2615971,646.5613968,613.6942099,0,1259.509792,629.903188104367,12,5
18709,66,55,1-66-2020-055-04,4,140.9012405,140.4930628,140.7853565,140.5957064,143.1230694,138.3358437,141.1831451,140.2116902,140.6624365,140.7147694,140.8774889,140.5157889,152.665227,132.8012159,292.3807201,0,141.022762,140.7755243,144.9621698,150.6088161,145.3717828,136.4868089,117.7298456,173.1485109,140.5991484,140.7703505,140.6492327,140.7283417,143.6195694,137.8300184,142.8433534,138.5389604,140.688438342688,6,5
16651,31,15,1-31-2020-015-07,7,240.5823079,239.8509574,240.5195007,239.8799834,245.487446,235.0350832,239.7688029,240.4960993,240.1382428,240.1212817,244.0317529,240.1294001,0,485.7012286,262.0773857,222.3872168,249.5035568,242.0686912,246.2590547,255.4037103,245.4443598,235.1175636,280.0088265,213.5710521,240.8980082,239.734937,240.1975301,240.0639986,237.2606188,243.4416363,244.6862012,235.5465279,240.130193414505,6,5
16714,24,34,1-24-2020-034-06,6,0,401.9940768,201.800323,201.6765773,201.7384311,201.7384311,201.7384311,201.7384311,201.5187993,201.9585422,199.4133014,204.1184219,201.7384311,201.7384311,201.7384311,201.7384311,201.0542081,202.4273272,210.9731961,206.3054227,201.7384311,201.7384311,203.3341635,201.7384311,200.3953443,203.0996427,202.4030851,201.0781281,201.7384311,201.7384311,201.7384311,201.7384311,201.738431141354,1,5
16717,59,3,1-59-2020-003-09,9,1259.359813,1250.580861,1258.060149,1251.375062,1267.18529,1240.241098,1272.313657,1234.875667,1250.580861,1262.461335,1290.206903,1254.606111,2469.739021,0,1263.438182,1245.792087,1309.32791,1250.882414,1283.445947,1322.101782,1348.868846,1177.387198,1109.670669,1509.219934,1250.580861,1261.457512,1250.625482,1258.265256,1286.723321,1221.314257,1254.091934,1253.276665,1253.57178124837,6,5
16654,66,14,1-66-2020-014-01,1,140.201933,140.201933,140.201933,140.201933,142.8614079,137.6463733,140.9713121,139.4121065,140.201933,140.201933,140.201933,140.201933,133.2405048,147.8153742,283.1432282,0,140.201933,140.201933,140.4441367,140.8008665,133.8613319,156.364946,123.1649808,162.61015,140.201933,140.201933,140.201933,140.201933,140.1807029,140.2042983,138.6463806,141.7014797,140.201933035703,6,5
16774,13,20,1-13-2020-020-03,3,1164.575944,1150.410803,1179.882183,1136.085555,1157.491282,1157.491282,1157.491282,1157.491282,1130.796442,1187.08431,1101.025772,1217.979691,1157.491282,1157.491282,1157.491282,1157.491282,2433.436001,0,1265.259041,1097.05075,1157.491282,1157.491282,1157.491282,1157.491282,1158.062868,1158.109504,1161.30479,1153.702737,1157.491282,1157.491282,1157.491282,1157.491282,1157.49128209228,7,5
16777,21,25,1-21-2020-025-03,3,577.008914,572.7678756,575.0569421,574.7043123,574.8805731,574.8805731,574.8805731,574.8805731,574.2547029,575.507809,568.2548056,581.6626743,574.8805731,574.8805731,574.8805731,574.8805731,572.9307881,576.8436743,573.7834846,585.2049542,574.8805731,574.8805731,574.8805731,574.8805731,571.053268,578.759527,1153.549187,0,574.8805731,574.8805731,574.8805731,574.8805731,574.880573096874,11,5
16734,25,22,1-25-2020-022-09,9,1424.629683,1401.812678,0,2673.827942,1412.340838,1410.893298,1411.781495,1411.435038,1342.940355,1502.664291,1331.20307,1544.053729,1413.343053,1409.887363,1410.628653,1412.606074,1444.182355,1436.038218,1321.125582,1647.332893,1416.405538,1409.867609,1444.705006,1412.023813,1369.135095,1458.518571,1412.930184,1412.255713,1411.688914,1411.524589,1411.209075,1412.010877,1411.60812088977,2,5
16067,30,1,1-30-2020-001-03,3,356.1436894,351.8117905,360.8245527,347.4309282,353.9771004,353.9771004,353.9771004,353.9771004,345.8134431,363.0270642,336.7091538,372.4753058,353.9771004,353.9771004,353.9771004,353.9771004,372.0894632,338.6114192,386.9339954,335.4935364,353.9771004,353.9771004,353.9771004,353.9771004,0,708.3323228,355.1433248,352.8185102,353.9771004,353.9771004,353.9771004,353.9771004,353.977100385149,10,5
