CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
19447,33,69,1-33-2020-069-08,8,1,LR,998,GT-AS,P118/65R14,17T063MA14319,7,0,1,178.599266512081,12,5
19447,33,69,1-33-2020-069-08,8,1,RR,998,GT-AS,P118/65R14,17T063MA14319,7,0,1,178.599266512081,12,5
19447,33,69,1-33-2020-069-08,8,1,RF,998,GT-AS,P118/65R14,17T063MA14319,7,0,1,178.599266512081,12,5
19450,31,70,1-31-2020-070-04,4,1,RR,70,Wrangler,P275/65R18,4BYJ JA3R3419,4,0,1,569.702757395356,6,5
19450,31,70,1-31-2020-070-04,4,1,LR,70,Wrangler,P275/65R18,4BYJ JA3R3418,4,0,1,569.702757395356,6,5
19450,31,70,1-31-2020-070-04,4,1,LF,70,Wrangler,P275/65R18,4BYJ JA3R3418,5,0,1,569.702757395356,6,5
19450,31,70,1-31-2020-070-04,4,1,RF,70,Wrangler HP,P275/65R18,4BXJ JL1R3418,7,0,1,569.702757395356,6,5
19448,33,70,1-33-2020-070-02,2,2,LF,103,LATITUDE,P225/65R17,0C3T 05EX2419,7,1,1,22.5431965287913,12,5
19448,33,70,1-33-2020-070-02,2,2,LR,103,LATITUDE,P225/65R17,0C3T 05EX3117,5,0,1,22.5431965287913,12,5
19448,33,70,1-33-2020-070-02,2,2,RR,103,LATITUDE,P225/65R17,0C3T 05EX3117,5,0,1,22.5431965287913,12,5
19448,33,70,1-33-2020-070-02,2,2,RF,103,LATITUDE,P225/65R17,0C3T 05EX2817,6,0,1,22.5431965287913,12,5
19463,26,146,1-26-2020-146-03,3,1,LF,28,PROCONTACT TX,P215/60R16,A35M WD3T4818,4,0,1,1405.33205463127,10,5
19463,26,146,1-26-2020-146-03,3,1,LR,28,PROCONTACT TX,P215/60R16,A35M WD3T4818,4,0,1,1405.33205463127,10,5
19463,26,146,1-26-2020-146-03,3,1,RR,998,ECO PRO,P215/60R16,TBP1 JJ5C,6,0,1,1405.33205463127,10,5
19463,26,146,1-26-2020-146-03,3,1,RF,998,Unknown,P215/60R16,9999999999999,7,1,1,1405.33205463127,10,5
19453,22,112,1-22-2020-112-07,7,1,LF,998,G FIT as,P225/65R17,BCH1 1JL 2819,4,0,1,87.6310552462787,12,5
19453,22,112,1-22-2020-112-07,7,1,LR,998,G FIT as,P225/65R17,BCH1 1JL 2819,5,0,1,87.6310552462787,12,5
19453,22,112,1-22-2020-112-07,7,1,RF,998,G FIT as,P225/65R17,BCH1 1JL 2819,4,0,1,87.6310552462787,12,5
19453,22,112,1-22-2020-112-07,7,1,RR,998,G FIT as,P225/65R17,BCH1 1JL 2819,5,0,1,87.6310552462787,12,5
19455,19,151,1-19-2020-151-06,6,1,LR,76,Kinergy GT,P205/65R16,T7D0 1BH,5,0,1,166.014900743543,9,5
19455,19,151,1-19-2020-151-06,6,1,LF,76,Kinergy GT,P205/65R16,T7D0 1BH 2717,5,0,1,166.014900743543,9,5
19455,19,151,1-19-2020-151-06,6,1,RF,76,Kinergy GT,P205/65R16,T7D0 1BH,5,0,1,166.014900743543,9,5
19455,19,151,1-19-2020-151-06,6,1,RR,76,Kinergy GT,P205/65R16,T7D0 1BH 2717,5,0,1,166.014900743543,9,5
19468,20,71,1-20-2020-071-04,4,1,LF,155,RS-C 2.0,P205/55R16,R70F LDJ,4,0,1,800.824382655546,11,5
19468,20,71,1-20-2020-071-04,4,1,RF,155,RS-C 2.0,P205/55R16,R70F LDJ 4117,4,1,1,800.824382655546,11,5
19468,20,71,1-20-2020-071-04,4,1,RR,193,Lion Sport HP,P205/55R16,1YC  AVL 032,8,0,1,800.824382655546,11,5
19468,20,71,1-20-2020-071-04,4,1,LR,193,Lion Sport HP,P205/55R16,1YCAVL0325019,8,0,1,800.824382655546,11,5
19455,19,151,1-19-2020-151-06,6,2,RF,187,AVID Envigor,P215/70R16,CCF1 863 0414,3,0,1,166.014900743543,9,5
19455,19,151,1-19-2020-151-06,6,2,RR,199,Atrezzo,P215/60R16,53KA R885,3,0,1,166.014900743543,9,5
19501,24,158,1-24-2020-158-07,7,1,LF,66,altimax rt43,P225/65R17,VY2Y WBL34017,7,0,1,1040.06735740446,1,5
19501,24,158,1-24-2020-158-07,7,1,LR,66,altimax rt43,P225/65R17,1H2Y WBL34617,8,0,1,1040.06735740446,1,5
19501,24,158,1-24-2020-158-07,7,2,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,1040.06735740446,1,5
19501,24,158,1-24-2020-158-07,7,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,1040.06735740446,1,5
19501,24,158,1-24-2020-158-07,7,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,1040.06735740446,1,5
19501,24,158,1-24-2020-158-07,7,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,1040.06735740446,1,5
19511,66,75,1-66-2020-075-08,8,1,LR,199,Atrezzo,P205/50R17,YJRE LBU11818,5,1,1,122.126347695842,6,5
19511,66,75,1-66-2020-075-08,8,1,RR,182,SA-07,P205/50R17,00KJHFAAJ5119,6,1,1,122.126347695842,6,5
19511,66,75,1-66-2020-075-08,8,1,LF,13,G FORCE Comp-2,P205/50R17,BE7P 9P113119,6,0,1,122.126347695842,6,5
19511,66,75,1-66-2020-075-08,8,1,RF,13,G FORCE Comp-2,P205/50R17,BE7P 9P11,5,1,1,122.126347695842,6,5
19512,66,76,1-66-2020-076-03,3,2,RR,998,Sport Line,P235/45R18,1KAN9YRL20420,7,0,1,101.661767199215,6,5
19512,66,76,1-66-2020-076-03,3,2,LR,998,Sport Line,P235/45R18,1KAN9YRL20520,6,0,1,101.661767199215,6,5
19512,66,76,1-66-2020-076-03,3,2,LF,998,Sport Line,P235/45R18,1KAN9YRL20520,6,0,1,101.661767199215,6,5
19512,66,76,1-66-2020-076-03,3,2,RF,998,Sport Line,P235/45R18,1KAN9YRL20520,5,0,1,101.661767199215,6,5
19517,73,90,1-73-2020-090-03,3,1,LF,76,KINERGY GT,P225/55R17,5MEM 1BH 2917,6,0,1,59.2733395889748,3,5
19517,73,90,1-73-2020-090-03,3,1,LR,76,KINERGY GT,P225/55R17,5MEM 1BH 2917,4,0,1,59.2733395889748,3,5
19517,73,90,1-73-2020-090-03,3,1,RR,76,KINERGY GT,P225/55R17,5MEM 1BH 2917,5,0,1,59.2733395889748,3,5
19517,73,90,1-73-2020-090-03,3,1,RF,76,KINERGY GT,P225/55R17,5MEM 1BH 2917,6,0,1,59.2733395889748,3,5
19522,27,78,1-27-2020-078-10,10,1,LF,98,SRT TOURING,P195/60R15,U9RB FYE 0117,7,0,1,1842.24761510826,3,5
19522,27,78,1-27-2020-078-10,10,1,LR,98,SRT TOURING,P195/60R15,U9RB FYE 2714,3,0,1,1842.24761510826,3,5
19522,27,78,1-27-2020-078-10,10,1,RR,998,GT60A,P195/60R15,7TCB,3,0,1,1842.24761510826,3,5
19522,27,78,1-27-2020-078-10,10,1,RF,98,SRT TOURING,P195/60R15,U9RB FYE,6,0,1,1842.24761510826,3,5
19529,12,84,1-12-2020-084-04,4,1,LF,70,VIVA 3 ALL-SEASON,P205/65R16,M63P JPJR0620,4,0,1,798.688922194409,9,5
19529,12,84,1-12-2020-084-04,4,1,LR,70,VIVA 3 ALL-SEASON,P205/65R16,M63P JPJR1120,4,0,1,798.688922194409,9,5
19529,12,84,1-12-2020-084-04,4,1,RR,70,VIVA 3 ALL-SEASON,P205/65R16,M63P JPJR0920,4,0,1,798.688922194409,9,5
19529,12,84,1-12-2020-084-04,4,1,RF,70,VIVA 3 ALL-SEASON,P205/65R16,M63P JPJR0920,4,0,1,798.688922194409,9,5
19525,13,101,1-13-2020-101-05,5,1,LF,998,RB-SUV,P235/60R18,1YCPCHPCR,8,0,1,205.241109136929,7,5
19525,13,101,1-13-2020-101-05,5,1,LR,998,RB-SUV,P235/60R18,1YCPCHPCR,10,0,1,205.241109136929,7,5
19525,13,101,1-13-2020-101-05,5,1,RR,998,RB-SUV,P235/60R18,1YCPCHPCR,9,0,1,205.241109136929,7,5
19525,13,101,1-13-2020-101-05,5,1,RF,998,RB-SUV,P235/60R18,1YCPCHPCR,8,0,1,205.241109136929,7,5
19526,22,113,1-22-2020-113-09,9,1,LR,47,Performance,P215/50R17,M66A LW1R4717,3,0,1,62.1899752638493,12,5
19526,22,113,1-22-2020-113-09,9,1,LF,47,Performance,P215/50R17,M66A LW1R1018,5,1,1,62.1899752638493,12,5
19526,22,113,1-22-2020-113-09,9,1,RF,47,Performance,P215/50R17,M66A LW1R1718,5,1,1,62.1899752638493,12,5
19526,22,113,1-22-2020-113-09,9,1,RR,47,Performance,P215/50R17,M66A LW1R4717,2,0,1,62.1899752638493,12,5
19527,22,114,1-22-2020-114-06,6,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,37.6263128277381,12,5
19527,22,114,1-22-2020-114-06,6,1,RF,39,Road control touring a/s,P235/55R18,U93L XRP 4618,4,0,1,37.6263128277381,12,5
19527,22,114,1-22-2020-114-06,6,1,RR,167,Ultra 900 Premium touring,P235/55R18,737C 3PA 5116,4,0,1,37.6263128277381,12,5
