CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
19419,52,159,1-52-2020-159-03,3,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,12782,34.5476626143396,12,5
19419,52,159,1-52-2020-159-03,3,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,14882,34.5476626143396,12,5
19420,52,160,1-52-2020-160-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 21.1.1,1,7532,69.8859424965525,12,5
19422,52,162,1-52-2020-162-07,7,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,227.849105206331,12,5
19424,28,80,1-28-2020-080-04,4,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,2349,190.969593279477,3,5
19425,25,114,1-25-2020-114-08,8,2,1,2,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,999997,171.287446739155,2,5
19429,73,88,1-73-2020-088-07,7,1,1,4,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.1,1,999997,421.802085835834,3,5
19430,13,98,1-13-2020-098-02,2,1,1,2,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,4335,98.2255460452971,7,5
19427,25,116,1-25-2020-116-03,3,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,2588,254.855341663268,2,5
20047,77,107,1-77-2020-107-04,4,2,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,2479,8635.47151996057,9,5
20050,14,92,1-14-2020-092-02,2,2,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,10724,185.969882760661,8,5
