CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6255,22,8,1-22-2017-008-07,7,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,178.517289524824,12,2
6260,33,4,1-33-2017-004-09,9,3,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19303,275.58801350289,12,2
6262,33,6,1-33-2017-006-10,10,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,813.870005186694,12,2
6251,13,6,1-13-2017-006-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,135,803.970471884634,7,2
6265,19,12,1-19-2017-012-07,7,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,22005,550.08296943677,9,2
6252,13,7,1-13-2017-007-02,2,2,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6230,62.5018868257869,7,2
6269,19,14,1-19-2017-014-09,9,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,933.155909690232,9,2
6270,19,15,1-19-2017-015-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,169.155252521446,9,2
6270,19,15,1-19-2017-015-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,14973,169.155252521446,9,2
6257,22,10,1-22-2017-010-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,12443,94.797052813258,12,2
6257,22,10,1-22-2017-010-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7138,94.797052813258,12,2
6273,20,7,1-20-2017-007-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5737,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,16342,222.029212725436,11,2
6249,28,4,1-28-2017-004-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5364,399.520240341932,3,2
6248,28,3,1-28-2017-003-08,8,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,115.39700389055,3,2
6258,18,4,1-18-2017-004-10,10,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,11972,4851.78412070462,6,2
6259,18,5,1-18-2017-005-09,9,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1101.97355497386,6,2
6259,18,5,1-18-2017-005-09,9,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,23431,1101.97355497386,6,2
6277,30,10,1-30-2017-010-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3583,195.270340619457,10,2
6277,30,10,1-30-2017-010-03,3,2,1,6,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,587,195.270340619457,10,2
6279,26,3,1-26-2017-003-02,2,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7464,217.327752687266,10,2
6268,15,5,1-15-2017-005-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1821,293.700500240111,1,2
6267,15,4,1-15-2017-004-09,9,3,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1694.46620873361,1,2
6293,14,6,1-14-2017-006-02,2,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,11378,377.192049330049,8,2
6293,14,6,1-14-2017-006-02,2,2,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5209,377.192049330049,8,2
6293,14,6,1-14-2017-006-02,2,3,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,377.192049330049,8,2
6295,10,4,1-10-2017-004-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,493.639530653368,4,2
6299,24,9,1-24-2017-009-10,10,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1113,7823.5854633871,1,2
6300,24,10,1-24-2017-010-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,9522,757.583679969649,1,2
6303,16,9,1-16-2017-009-05,5,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,940,141.919999800106,5,2
6305,32,9,1-32-2017-009-01,1,1,1,2,17.0,17.0,1,11400,360.855240138265,7,2
6304,16,10,1-16-2017-010-02,2,1,1,1,Crash Data Retrieval Tool 17.1,Crash Data Retrieval Tool 18.0.2,1,5926,61.0428434944616,5,2
6312,19,18,1-19-2017-018-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,12397,252.846410865255,9,2
6310,19,17,1-19-2017-017-02,2,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,634,102.089013427492,9,2
6311,31,5,1-31-2017-005-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1093,562.115223388776,6,2
6313,21,5,1-21-2017-005-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,14911,777.203075524324,11,2
6317,17,11,1-17-2017-011-07,7,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1987.12586336849,4,2
6316,13,10,1-13-2017-010-01,1,1,1,0,17.2,17.2,3,999998,333.15253105404,7,2
6316,13,10,1-13-2017-010-01,1,1,2,2,17.2,17.2,1,19025,333.15253105404,7,2
6324,33,8,1-33-2017-008-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1418,162.186708167943,12,2
6315,13,9,1-13-2017-009-04,4,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6091,4954.12389489274,7,2
6328,15,6,1-15-2017-006-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,677.248940550443,1,2
6297,28,5,1-28-2017-005-08,8,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,822.528288874043,3,2
6329,30,12,1-30-2017-012-05,5,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,127.907972387975,10,2
6314,18,6,1-18-2017-006-10,10,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,15978,9018.03222861973,6,2
6314,18,6,1-18-2017-006-10,10,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,30382,9018.03222861973,6,2
6318,26,4,1-26-2017-004-09,9,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,4450.78214838925,10,2
6340,14,7,1-14-2017-007-08,8,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1502.31800595479,8,2
6343,28,6,1-28-2017-006-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5197,341.026316061788,3,2
6342,24,12,1-24-2017-012-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1743,153.326904137304,1,2
6345,23,9,1-23-2017-009-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,2499,187.820886282507,5,2
6349,16,11,1-16-2017-011-02,2,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3797,23.5476598737852,5,2
6350,16,12,1-16-2017-012-07,7,1,1,2,Crash Data Retrieval Tool 17.1,Crash Data Retrieval Tool 18.0.2,1,12728,1097.7992303142,5,2
6350,16,12,1-16-2017-012-07,7,2,1,5,Crash Data Retrieval Tool 17.1,Crash Data Retrieval Tool 18.0.2,1,999998,1097.7992303142,5,2
