CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
6870,17,24,1-17-2017-024-04,4,2,C,1,13,2,842,3,2,4191.2248811145,4,2
6860,32,36,1-32-2017-036-03,3,2,C,1,24,1,841,3,2,1642.02097146795,7,2
6861,32,37,1-32-2017-037-06,6,1,B,1,21,1,851,3,2,3184.70696791482,7,2
6898,32,38,1-32-2017-038-05,5,1,D,1,3,1,101,3,2,301.15551826992,7,2
6888,18,21,1-18-2017-021-09,9,1,B,1,24,1,842,3,2,1731.35796359501,6,2
6752,19,40,1-19-2017-040-08,8,1,E,1,24,1,842,3,2,539.527964967708,9,2
6888,18,21,1-18-2017-021-09,9,1,D,1,24,1,851,3,2,1731.35796359501,6,2
6748,29,14,1-29-2017-014-03,3,1,D,1,4,1,862,3,2,860.19338867189,2,2
6812,17,23,1-17-2017-023-09,9,1,A,1,4,1,401,3,2,1691.99672341111,4,2
6812,17,23,1-17-2017-023-09,9,1,B,1,24,1,841,3,2,1691.99672341111,4,2
6816,12,18,1-12-2017-018-05,5,1,B,1,24,1,742,3,2,628.832940754307,9,2
6805,29,15,1-29-2017-015-04,4,2,J,1,26,2,842,3,2,1180.76502650807,2,2
6805,29,15,1-29-2017-015-04,4,2,K,1,26,2,842,3,2,1180.76502650807,2,2
6748,29,14,1-29-2017-014-03,3,1,G,1,24,1,862,3,2,860.19338867189,2,2
6805,29,15,1-29-2017-015-04,4,1,B,1,24,1,849,3,2,1180.76502650807,2,2
6805,29,15,1-29-2017-015-04,4,3,K,1,24,1,849,3,2,1180.76502650807,2,2
6748,29,14,1-29-2017-014-03,3,1,B,1,2,1,862,3,2,860.19338867189,2,2
6734,12,15,1-12-2017-015-09,9,1,A,1,24,1,841,3,2,3747.88353603989,9,2
6595,22,24,1-22-2017-024-03,3,1,A,1,24,1,842,3,2,166.374615758244,12,2
6544,22,22,1-22-2017-022-08,8,1,A,1,3,1,101,3,2,135.032270274358,12,2
7652,10,35,1-10-2017-035-05,5,1,C,1,4,1,401,3,2,46.5860163329168,4,2
7651,32,84,1-32-2017-084-02,2,1,E,1,24,1,841,3,2,58.3131460122481,7,2
7337,30,59,1-30-2017-059-02,2,2,A,1,13,2,841,3,2,65.7375235677853,10,2
7337,30,59,1-30-2017-059-02,2,2,B,1,13,2,842,3,2,65.7375235677853,10,2
7359,27,9,1-27-2017-009-03,3,1,I,1,24,1,842,3,2,385.470075835503,3,2
7292,25,10,1-25-2017-010-06,6,2,A,1,24,1,849,3,2,291.373302463914,2,2
7053,32,48,1-32-2017-048-03,3,2,A,1,22,1,842,3,2,841.136761414762,7,2
7053,32,48,1-32-2017-048-03,3,2,C,1,22,2,841,3,2,841.136761414762,7,2
7316,12,32,1-12-2017-032-03,3,1,C,1,24,1,852,3,2,631.788821474217,9,2
7316,12,32,1-12-2017-032-03,3,1,D,1,24,1,851,3,2,631.788821474217,9,2
7252,10,29,1-10-2017-029-05,5,1,C,1,22,1,742,3,2,50.2244039588763,4,2
7252,10,29,1-10-2017-029-05,5,1,D,1,22,1,742,3,2,50.2244039588763,4,2
7269,30,56,1-30-2017-056-03,3,1,C,1,24,1,842,3,2,1062.0508783815,10,2
7317,12,33,1-12-2017-033-07,7,1,A,1,24,1,851,3,2,3256.77527939067,9,2
7317,12,33,1-12-2017-033-07,7,1,B,1,24,1,852,3,2,3256.77527939067,9,2
7455,12,34,1-12-2017-034-04,4,2,D,1,24,1,851,3,2,3990.87077387485,9,2
7433,22,72,1-22-2017-072-09,9,1,I,1,26,2,842,3,2,366.952088762982,12,2
7359,27,9,1-27-2017-009-03,3,1,L,1,23,2,999,3,2,385.470075835503,3,2
7378,22,69,1-22-2017-069-02,2,2,E,1,24,1,841,3,2,57.5944953362226,12,2
7378,22,69,1-22-2017-069-02,2,1,C,1,24,1,841,3,2,57.5944953362226,12,2
7101,32,51,1-32-2017-051-02,2,2,B,1,24,1,842,3,2,100.6051686459,7,2
7658,19,85,1-19-2017-085-08,8,1,B,1,24,1,841,3,2,521.301323210648,9,2
7658,19,85,1-19-2017-085-08,8,1,C,1,26,1,842,3,2,521.301323210648,9,2
7418,32,74,1-32-2017-074-03,3,2,C,1,24,1,841,3,2,840.271476592335,7,2
7586,12,38,1-12-2017-038-04,4,3,A,1,24,1,862,3,2,890.337454277011,9,2
7455,12,34,1-12-2017-034-04,4,1,B,1,24,1,711,3,2,3990.87077387485,9,2
7523,27,11,1-27-2017-011-06,6,2,C,1,24,1,851,3,2,153.411565371523,3,2
7522,32,81,1-32-2017-081-03,3,1,B,1,22,1,842,3,2,1166.26283887602,7,2
7946,17,65,1-17-2017-065-02,2,2,B,1,7,1,839,3,2,70.2577412888529,4,2
7929,24,96,1-24-2017-096-03,3,1,A,1,24,1,841,3,2,286.298646550666,1,2
7741,30,71,1-30-2017-071-05,5,1,A,1,24,1,841,3,2,197.45088374437,10,2
7907,24,94,1-24-2017-094-04,4,1,A,1,24,1,841,3,2,1263.56937231219,1,2
7907,24,94,1-24-2017-094-04,4,1,B,1,26,1,842,3,2,1263.56937231219,1,2
7595,25,20,1-25-2017-020-02,2,1,C,1,24,1,842,3,2,79.5916030273087,2,2
7874,12,47,1-12-2017-047-09,9,1,B,1,26,2,851,3,2,2454.35239269099,9,2
7883,19,95,1-19-2017-095-02,2,1,A,1,7,1,401,3,2,134.564538478842,9,2
7818,24,88,1-24-2017-088-09,9,1,A,1,24,1,841,3,2,3104.8070286023,1,2
7832,12,45,1-12-2017-045-09,9,1,A,1,24,1,841,3,2,3838.87221500274,9,2
7832,12,45,1-12-2017-045-09,9,1,B,1,24,1,841,3,2,3838.87221500274,9,2
7832,12,45,1-12-2017-045-09,9,1,C,1,24,1,841,3,2,3838.87221500274,9,2
7818,24,88,1-24-2017-088-09,9,1,C,1,24,1,841,3,2,3104.8070286023,1,2
6442,21,8,1-21-2017-008-03,3,1,A,1,24,1,841,3,2,708.688785823217,11,2
6344,10,5,1-10-2017-005-02,2,1,H,1,24,1,841,3,2,53.6821037817962,4,2
6588,17,17,1-17-2017-017-03,3,1,C,1,24,1,841,3,2,385.218602647092,4,2
6392,32,13,1-32-2017-013-01,1,1,A,1,4,1,401,3,2,473.930148358357,7,2
6392,32,13,1-32-2017-013-01,1,1,B,1,24,1,841,3,2,473.930148358357,7,2
6392,32,13,1-32-2017-013-01,1,1,C,1,21,1,741,3,2,473.930148358357,7,2
6392,32,13,1-32-2017-013-01,1,1,D,1,22,1,742,3,2,473.930148358357,7,2
6547,33,19,1-33-2017-019-06,6,2,A,1,24,1,841,3,2,72.700709413549,12,2
6324,33,8,1-33-2017-008-03,3,2,A,1,24,1,841,3,2,162.186708167943,12,2
6324,33,8,1-33-2017-008-03,3,2,B,1,24,1,842,3,2,162.186708167943,12,2
6362,19,19,1-19-2017-019-06,6,2,B,1,24,1,849,3,2,417.704209858924,9,2
6362,19,19,1-19-2017-019-06,6,2,C,1,13,2,841,3,2,417.704209858924,9,2
6531,32,19,1-32-2017-019-07,7,1,B,1,21,1,842,3,2,5536.09702917442,7,2
6531,32,19,1-32-2017-019-07,7,1,C,1,21,1,841,3,2,5536.09702917442,7,2
6448,22,18,1-22-2017-018-06,6,1,B,1,24,1,841,3,2,156.071189007572,12,2
6496,26,10,1-26-2017-010-06,6,2,C,1,24,1,841,3,2,2568.83600284856,10,2
6541,17,16,1-17-2017-016-05,5,1,D,1,13,2,841,3,2,108.179886824118,4,2
6541,17,16,1-17-2017-016-05,5,1,E,1,13,2,842,3,2,108.179886824118,4,2
6475,12,10,1-12-2017-010-02,2,2,C,1,26,2,852,3,2,564.8233251094,9,2
6499,29,8,1-29-2017-008-06,6,1,C,1,21,1,849,3,2,540.088905136712,2,2
6499,29,8,1-29-2017-008-06,6,1,D,1,2,1,101,3,2,540.088905136712,2,2
6499,29,8,1-29-2017-008-06,6,1,H,1,21,1,841,3,2,540.088905136712,2,2
6448,22,18,1-22-2017-018-06,6,1,F,1,25,1,842,3,2,156.071189007572,12,2
6259,18,5,1-18-2017-005-09,9,2,A,1,24,1,842,3,2,1101.97355497386,6,2
6448,22,18,1-22-2017-018-06,6,1,J,1,25,2,841,3,2,156.071189007572,12,2
6448,22,18,1-22-2017-018-06,6,1,K,1,26,2,841,3,2,156.071189007572,12,2
6448,22,18,1-22-2017-018-06,6,1,L,1,26,2,852,3,2,156.071189007572,12,2
6246,17,9,1-17-2017-009-03,3,2,C,1,26,2,842,3,2,134.288191588743,4,2
6255,22,8,1-22-2017-008-07,7,1,A,1,21,1,842,3,2,178.517289524824,12,2
6256,22,9,1-22-2017-009-09,9,1,E,1,13,2,841,3,2,302.835159341122,12,2
6256,22,9,1-22-2017-009-09,9,1,F,1,13,2,842,3,2,302.835159341122,12,2
6185,12,2,1-12-2017-002-06,6,2,B,1,24,1,852,3,2,6809.55000197747,9,2
6297,28,5,1-28-2017-005-08,8,1,C,1,26,2,841,3,2,822.528288874043,3,2
6307,12,5,1-12-2017-005-04,4,1,A,1,21,1,761,3,2,2341.23732557018,9,2
6307,12,5,1-12-2017-005-04,4,1,B,1,24,1,841,3,2,2341.23732557018,9,2
6242,12,4,1-12-2017-004-07,7,1,A,1,5,1,761,3,2,3303.40692034561,9,2
6242,12,4,1-12-2017-004-07,7,1,B,1,23,2,762,3,2,3303.40692034561,9,2
6242,12,4,1-12-2017-004-07,7,1,C,1,23,2,762,3,2,3303.40692034561,9,2
6242,12,4,1-12-2017-004-07,7,1,D,1,23,2,761,3,2,3303.40692034561,9,2
6256,22,9,1-22-2017-009-09,9,1,A,1,7,1,849,3,2,302.835159341122,12,2
6110,12,1,1-12-2017-001-06,6,1,D,1,21,1,762,3,2,831.843534377453,9,2
6112,19,5,1-19-2017-005-03,3,2,A,1,22,2,841,3,2,639.392649632869,9,2
6110,12,1,1-12-2017-001-06,6,1,A,1,24,1,851,3,2,831.843534377453,9,2
6110,12,1,1-12-2017-001-06,6,1,B,1,21,1,762,3,2,831.843534377453,9,2
6092,14,1,1-14-2017-001-05,5,2,C,1,22,2,999,3,2,223.196555918989,8,2
6448,22,18,1-22-2017-018-06,6,2,B,1,1,1,101,12,2,156.071189007572,12,2
6307,12,5,1-12-2017-005-04,4,1,C,1,24,1,851,12,2,2341.23732557018,9,2
6596,22,25,1-22-2017-025-03,3,1,B,1,1,1,101,12,2,166.374615766795,12,2
6606,16,24,1-16-2017-024-02,2,2,A,1,1,1,101,12,2,33.6880899958945,5,2
6498,19,26,1-19-2017-026-05,5,2,B,1,1,1,101,12,2,253.139564629783,9,2
6860,32,36,1-32-2017-036-03,3,2,B,1,1,1,101,12,2,1642.02097146795,7,2
7071,22,52,1-22-2017-052-01,1,2,B,1,1,2,101,12,2,96.8900178613484,12,2
7071,22,52,1-22-2017-052-01,1,1,C,1,1,1,101,12,2,96.8900178613484,12,2
7202,10,28,1-10-2017-028-03,3,1,B,1,1,1,762,12,2,224.661315300313,4,2
