CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
7674,12,40,1-12-2017-040-05,5,1,1,3,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,0,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,2,7,628.832940754307,9,2
7674,12,40,1-12-2017-040-05,5,1,1,1,1,9995.00,9995.00,7,8,9995.00,204.00,204.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,0,8,9995.00,204.00,204.00,9997.00,9997.00,7,2,7,628.832940754307,9,2
7949,12,49,1-12-2017-049-03,3,2,1,1,1,9995.00,9995.00,7,8,9994.00,9997.00,9994.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9997.00,9994.00,9997.00,9997.00,7,7,7,896.225689431293,9,2
7230,20,63,1-20-2017-063-08,8,2,1,1,1,17.50,9995.00,7,1,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,1,17.50,9995.00,0,1,9997.00,9995.00,9994.00,9997.00,9997.00,7,3,7,118.63788302479,11,2
7382,20,76,1-20-2017-076-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,648.910229612999,11,2
7860,20,100,1-20-2017-100-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9997.00,7,7,7,97.2396709817288,11,2
7860,20,100,1-20-2017-100-03,3,1,1,2,1,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9997.00,7,7,7,97.2396709817288,11,2
7860,20,100,1-20-2017-100-03,3,1,1,3,1,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9994.00,9999.00,9997.00,7,7,7,97.2396709817288,11,2
8862,20,158,1-20-2017-158-03,3,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,243.961867646916,11,2
8862,20,158,1-20-2017-158-03,3,2,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,243.961867646916,11,2
