CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
6179,13,4,1-13-2017-004-03,3,3,,,,,,,,,,,50,54,,,126,,,,,,,,,,,,887,1311.02538454043,7,2
6198,22,3,1-22-2017-003-09,9,3,,97,457,95,,,97,264,95,,,,152,152,,,,,,,,,,,,,887,358.511606967376,12,2
6207,20,4,1-20-2017-004-04,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,671.332756770817,11,2
6210,15,3,1-15-2017-003-03,3,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,436.435949116308,1,2
6211,18,2,1-18-2017-002-04,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,559.497086859663,6,2
6214,18,3,1-18-2017-003-10,10,1,,,,,,,,,,,,,,,,,,,,,9,16,,10,49,,887,4594.56953046122,6,2
6215,32,5,1-32-2017-005-05,5,1,,,248,,,,,,,,37,37,,,,,,,,,9,15,,,,,887,156.929343754051,7,2
6215,32,5,1-32-2017-005-05,5,2,,,,,,,,,,,41,41,,,101,,,,,,,,,,,,887,156.929343754051,7,2
6206,20,3,1-20-2017-003-02,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,39.0673380453663,11,2
6217,30,4,1-30-2017-004-04,4,1,,,,,,,,,,,30,,,,121,,,,,,,,,,,,887,759.796183904248,10,2
6218,30,5,1-30-2017-005-07,7,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,112,887,887,887,887,887,887,887,887,887,887,887,887,889.340757753611,10,2
6218,30,5,1-30-2017-005-07,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,889.340757753611,10,2
6222,14,4,1-14-2017-004-10,10,1,,90,257,,,,81,270,,,37,,140,146,106,,,,,,,,,,,,887,5496.44877828333,8,2
6201,22,6,1-22-2017-006-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,50.6616883268184,12,2
6223,14,5,1-14-2017-005-06,6,1,,70,,,,,90,,,,40,,,,106,,,,,,,,,,,,887,2850.08274068618,8,2
6233,32,7,1-32-2017-007-09,9,1,,,,,,,,,,,42,42,150,148,113,,,,,,,,,,,,887,3404.16805142899,7,2
6228,10,3,1-10-2017-003-09,9,1,,,,,,,90,273,110,,22,30,155,,119,,,,,,,,,,43,69,887,1098.36140168446,4,2
6232,32,6,1-32-2017-006-04,4,2,,,,,,,,,,,,62,,,,,,887,887,887,,,,,,,290,2047.48443634482,7,2
6234,32,8,1-32-2017-008-06,6,1,,,,,,,,,,,42,,,,127,,,,,,,,,,,,887,1146.93937210064,7,2
6236,16,7,1-16-2017-007-07,7,2,,,,,,,,,,,,,,,,,,,,,22,16,,,,,887,700.608668700306,5,2
6238,12,3,1-12-2017-003-04,4,2,,70,280,80,,,70,300,59,,43,39,159,157,119,,,,,,10,16,132,4,41,88,887,2969.00932898461,9,2
6237,16,8,1-16-2017-008-07,7,2,,,285,,,,,285,,,,,152,153,,,,,,,12,17,90,,,,887,700.608668706153,5,2
6242,12,4,1-12-2017-004-07,7,1,,70,280,98,,,67,278,100,,41,43,152,152,123,75,60,50,65,92,10,16,125,3,38,78,887,3303.40692034561,9,2
6229,24,4,1-24-2017-004-07,7,1,84,,356,,,,66,347,,,28,,168,,75,,,,,,,,,9,60,92,887,615.743725181132,1,2
6230,24,5,1-24-2017-005-03,3,2,,78,280,,,,75,280,,,42,,160,,126,,,,,,,,,,32,84,887,154.897902837707,1,2
6241,31,4,1-31-2017-004-06,6,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,374.469255445773,6,2
6245,17,8,1-17-2017-008-03,3,1,,,,,,,,,,,25,25,,,124,,,,,,,,,,,,887,134.288191587689,4,2
6245,17,8,1-17-2017-008-03,3,2,,,,,,,,,,,,,,,,,,,,,12,22,,,,,887,134.288191587689,4,2
6246,17,9,1-17-2017-009-03,3,2,,,,,,,,,,,,,,,132,,,,,,,,,,,,887,134.288191588743,4,2
6244,17,7,1-17-2017-007-06,6,1,,,,,,,,,,,,,,,116,,,,,,,,,,,,887,260.452544085976,4,2
6260,33,4,1-33-2017-004-09,9,1,,,,,,,,,,,,,,,,,,887,887,887,10,14,,,,,,275.58801350289,12,2
6255,22,8,1-22-2017-008-07,7,1,,,,,,,,,,,20,25,,,121,,,57,,,,,,,,,887,178.517289524824,12,2
6254,22,7,1-22-2017-007-09,9,1,,108,266,110,,,108,266,110,,,,144,144,149,61,60,93,19,89,,,120,,38,68,887,302.83515933275,12,2
6260,33,4,1-33-2017-004-09,9,3,,,,,,,,,,,,,159,171,,,,,,,,,,,,,887,275.58801350289,12,2
6262,33,6,1-33-2017-006-10,10,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,137,887,887,887,887,887,887,887,887,887,887,887,887,813.870005186694,12,2
6253,13,8,1-13-2017-008-01,1,1,,,,,,,,,,,999,39,,,119,,,,,,,,,,,,887,188.955712734655,7,2
6262,33,6,1-33-2017-006-10,10,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,121,887,887,887,887,813.870005186694,12,2
6251,13,6,1-13-2017-006-03,3,1,,,,,,,,,,,,,,,129,,,54,,,,,,,,,887,803.970471884634,7,2
6243,21,4,1-21-2017-004-03,3,1,,,,,,,,,,,,,,,138,,,,,,,,,,,,887,517.419727076975,11,2
6243,21,4,1-21-2017-004-03,3,2,,,,,,,,,,,,,,,129,,,,,,,,,,,,887,517.419727076975,11,2
6265,19,12,1-19-2017-012-07,7,1,,,,,,,,,,,,,,,128,,,,,,,,,,,,887,550.08296943677,9,2
6265,19,12,1-19-2017-012-07,7,2,,,,,,,,,,,,47,,158,,,,,,,,,,,,,887,550.08296943677,9,2
6266,19,13,1-19-2017-013-05,5,1,,,,,,,,,,,41,,,,133,,,,,,,,,,,,887,79.9848995102589,9,2
6252,13,7,1-13-2017-007-02,2,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,131,887,887,63,887,887,887,887,114,887,887,887,887,62.5018868257869,7,2
6270,19,15,1-19-2017-015-06,6,1,,,,,,,,350,,,53,48,165,165,,,82,887,887,887,8,21,,,,,214,169.155252521446,9,2
6270,19,15,1-19-2017-015-06,6,2,,,,,,,,,,,54,50,174,171,131,,91,887,887,887,,,,,,,223,169.155252521446,9,2
6257,22,10,1-22-2017-010-06,6,1,,86,262,95,,,86,262,95,,,,156,153,115,,,,,168,,,89,,38,82,887,94.797052813258,12,2
6257,22,10,1-22-2017-010-06,6,2,,84,280,104,,,84,280,104,,,,154,155,138,,,49,,,,,103,,34,80,887,94.797052813258,12,2
6273,20,7,1-20-2017-007-03,3,1,,,368,,,,,368,,,40,46,,,,,,887,887,887,,,,,,,186,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,2,,,,,,,,,,,34,36,,,,,,,,,,,,,,,887,222.029212725436,11,2
6248,28,3,1-28-2017-003-08,8,1,,,245,,,,,257,,,43,38,,,124,,,59,,,,,,,,,887,115.39700389055,3,2
6258,18,4,1-18-2017-004-10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,4851.78412070462,6,2
6259,18,5,1-18-2017-005-09,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,1101.97355497386,6,2
6259,18,5,1-18-2017-005-09,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,1101.97355497386,6,2
6274,30,7,1-30-2017-007-03,3,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,195.270340617582,10,2
6277,30,10,1-30-2017-010-03,3,1,,,,,,,,,,,,,,,105,,,,,,,,,,,,887,195.270340619457,10,2
6277,30,10,1-30-2017-010-03,3,2,,,,,,,,,,,,,,,,,,,,,15,13,,,,,887,195.270340619457,10,2
6275,30,8,1-30-2017-008-02,2,1,,,,,,,,,,,,,,,109,,,,,,,,,,,,887,17.1476472290285,10,2
6275,30,8,1-30-2017-008-02,2,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,17.1476472290285,10,2
6279,26,3,1-26-2017-003-02,2,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,217.327752687266,10,2
6279,26,3,1-26-2017-003-02,2,2,,,,66,,,,,,,,,,,,,,16,138,,,,,,,,887,217.327752687266,10,2
6271,20,5,1-20-2017-005-03,3,1,,,,,,,,,,,,,,,121,,,,,,,,,,,,887,222.029212725436,11,2
6271,20,5,1-20-2017-005-03,3,2,,,,,,,,,,,,,,,132,,,,,,,,,,,,887,222.029212725436,11,2
6268,15,5,1-15-2017-005-03,3,2,,,,,,,,270,,,,,,,,,,,,,13,15,,,,,887,293.700500240111,1,2
6267,15,4,1-15-2017-004-09,9,3,,,,,,,,,,,,,,,119,,,,,,,,,,,,887,1694.46620873361,1,2
6293,14,6,1-14-2017-006-02,2,1,,,,,,,,,,,42,,,,132,,,,,,,,,,,,887,377.192049330049,8,2
6293,14,6,1-14-2017-006-02,2,3,,,,,,,,,,,,46,,,,,,887,887,887,,,,,,,280,377.192049330049,8,2
6299,24,9,1-24-2017-009-10,10,1,,,,,,,,,,,,,,,127,,,,,,,,,,,,887,7823.5854633871,1,2
6299,24,9,1-24-2017-009-10,10,2,,,304,,,,,,,,,,,,,,,,,,18,26,136,10,52,82,887,7823.5854633871,1,2
6300,24,10,1-24-2017-010-06,6,1,,,,,,,,,,,38,40,,,,,,,,,,,,10,43,,887,757.583679969649,1,2
6307,12,5,1-12-2017-005-04,4,1,,,,,,,,267,,,34,47,,,,,,,,,12,16,132,9,40,90,887,2341.23732557018,9,2
6303,16,9,1-16-2017-009-05,5,1,,,233,,,,,256,,,,,153,165,97,97,,,,,19,17,103,,,,887,141.919999800106,5,2
6307,12,5,1-12-2017-005-04,4,2,,,,,,,,,,,45,50,,,114,,,,,,,,,,,,887,2341.23732557018,9,2
6308,29,3,1-29-2017-003-10,10,1,,78,260,,,,,,,,36,,,,100,,,,,,,,,,,,887,20830.7351125155,2,2
6305,32,9,1-32-2017-009-01,1,1,,,,,,,,,,,,,,,131,,,887,887,887,,,,,,,,360.855240138265,7,2
6308,29,3,1-29-2017-003-10,10,2,,,,,,,76,260,90,,37,,,,93,,,,,,,,,9,45,75,887,20830.7351125155,2,2
6305,32,9,1-32-2017-009-01,1,2,,,262,,,,,262,,,,46,,,105,,,,,,8,17,120,,,,887,360.855240138265,7,2
6305,32,9,1-32-2017-009-01,1,3,,,278,,,,,278,,,,,,,116,,,,,,10,18,123,,,,887,360.855240138265,7,2
6312,19,18,1-19-2017-018-03,3,1,,,,,,,,,,,,,160,163,91,,,,,,,,,,,,887,252.846410865255,9,2
6312,19,18,1-19-2017-018-03,3,2,,,,,,,,,,,40,46,157,158,128,,,,,,,,,,,,887,252.846410865255,9,2
6310,19,17,1-19-2017-017-02,2,1,,,,,,,,,,,19,,,,140,,,,,,,,,,,,887,102.089013427492,9,2
6310,19,17,1-19-2017-017-02,2,2,,,,,,,,,,,,23,,,,,,63,47,,,,,,,,887,102.089013427492,9,2
6311,31,5,1-31-2017-005-03,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,562.115223388776,6,2
6296,23,8,1-23-2017-008-03,3,1,,,,,,,,,,,41,53,,,120,,,887,887,887,,,,,,,,361.510354200757,5,2
6317,17,11,1-17-2017-011-07,7,1,,,,,,,,,,,41,,,,128,,,,,,,,,,,,887,1987.12586336849,4,2
6317,17,11,1-17-2017-011-07,7,2,,,,,,,,260,,,,,,,,,,,,,11,16,,,,,887,1987.12586336849,4,2
6316,13,10,1-13-2017-010-01,1,1,,,,,,,,,,,52,50,,,132,,,,,,,,,,,,887,333.15253105404,7,2
6324,33,8,1-33-2017-008-03,3,2,,,,,,,,,,,999,,,,117,,,,,,,,,,,,887,162.186708167943,12,2
6322,22,12,1-22-2017-012-07,7,1,,,,,,,,,,,,,,,131,,,887,887,887,,,133,,,,,166.543174350512,12,2
6315,13,9,1-13-2017-009-04,4,2,,,,,,,,,,,50,51,,,,,,55,,,,,,,,,887,4954.12389489274,7,2
6326,20,8,1-20-2017-008-09,9,2,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,2147.20799350779,11,2
6321,22,11,1-22-2017-011-09,9,1,,78,270,113,,,78,270,113,,38,48,150,151,118,,,14,20,208,10,,113,8,45,78,887,282.522375712169,12,2
6328,15,6,1-15-2017-006-03,3,1,,,,,,,,,,,65,64,,,134,,,887,887,887,,,,,,,,677.248940550443,1,2
6328,15,6,1-15-2017-006-03,3,2,,,,,,,,,,,,,,,122,,,,,,,,,,,,887,677.248940550443,1,2
6297,28,5,1-28-2017-005-08,8,1,,,271,,,,,272,,,45,35,,,119,,,,,,10,19,121,,,,887,822.528288874043,3,2
6331,30,13,1-30-2017-013-06,6,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,118,887,887,887,887,1455.71663814421,10,2
6329,30,12,1-30-2017-012-05,5,2,,,,,,,,,,,,,,,116,,,15,26,,,,,,,,887,127.907972387975,10,2
6314,18,6,1-18-2017-006-10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,9018.03222861973,6,2
6314,18,6,1-18-2017-006-10,10,2,,,,,,,,,,,,,,,,,,18,34,,,,,,,,887,9018.03222861973,6,2
6318,26,4,1-26-2017-004-09,9,1,,,,,,,,,,,43,,,,131,,,887,887,887,,,,,,,,4450.78214838925,10,2
6340,14,7,1-14-2017-007-08,8,1,,,,,,,,,,,35,,,,116,,,,,,,,,,,,887,1502.31800595479,8,2
6340,14,7,1-14-2017-007-08,8,2,,,,,,,,,,,50,,,,134,,,887,887,887,,,,,,,,1502.31800595479,8,2
6343,28,6,1-28-2017-006-03,3,2,,,263,,,,,272,,,35,31,,,,,,,,,9,16,110,,,,887,341.026316061788,3,2
6342,24,12,1-24-2017-012-03,3,1,,,281,,,,,288,,,,,140,160,,,,,,,16,22,120,7,37,98,887,153.326904137304,1,2
6342,24,12,1-24-2017-012-03,3,2,,,334,,,,,334,,,,,,,134,,,887,887,887,,,,,,,,153.326904137304,1,2
6345,23,9,1-23-2017-009-03,3,1,,,,,,,,,,,43,,,,128,,,,,,,,,,,,887,187.820886282507,5,2
6348,32,12,1-32-2017-012-07,7,2,,,,,,,,,,,40,40,,,119,,,57,,,,,,,,,887,5303.85549310429,7,2
6348,32,12,1-32-2017-012-07,7,3,,,,,,,,,,,36,36,,,,,,46,,,,,,,,,887,5303.85549310429,7,2
6347,32,11,1-32-2017-011-07,7,1,,,269,,,,,269,,,53,56,154,155,111,,,,,,,,,,,,887,5303.85549310429,7,2
6349,16,11,1-16-2017-011-02,2,2,,,287,,,,,283,,,,,160,158,122,83,,,,,,,,,,,887,23.5476598737852,5,2
6350,16,12,1-16-2017-012-07,7,1,,,281,,,,,,,,,,,,128,,,,,,,,,,,,887,1097.7992303142,5,2
6351,29,4,1-29-2017-004-07,7,1,,,280,85,,,,,86,,,40,,,,,,46,,,10,8,,9,40,80,887,1696.4023108647,2,2
6353,17,12,1-17-2017-012-07,7,1,,,308,,,,,307,,,44,,166,164,102,,,,,,,,,,,,887,1124.00172722639,4,2
6359,33,9,1-33-2017-009-03,3,1,,,,,,,,,,,43,,,,,,,,,,,,,,,,887,156.526497578033,12,2
6360,33,10,1-33-2017-010-06,6,1,,,,,,,,,,,20,,,,105,,,,,,,,,,,,887,227.116484260283,12,2
6362,19,19,1-19-2017-019-06,6,1,,,,,,,,,,,48,53,157,158,128,,,,,,,,,,,,887,417.704209858924,9,2
6362,19,19,1-19-2017-019-06,6,2,,,200,,,,,,,,35,35,999,132,,,,,,,13,22,94,,,,887,417.704209858924,9,2
6363,19,20,1-19-2017-020-04,4,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,1320.59535121042,9,2
6363,19,20,1-19-2017-020-04,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,1320.59535121042,9,2
6360,33,10,1-33-2017-010-06,6,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,227.116484260283,12,2
6367,12,7,1-12-2017-007-04,4,1,,73,275,80,,,72,275,80,,42,40,152,152,110,,,,,,11,18,120,5,36,77,887,1021.86144489025,9,2
6354,21,6,1-21-2017-006-04,4,2,,,,,,,,,,,,,,,128,,,,,,,,,,,,887,1145.92166113939,11,2
6368,30,14,1-30-2017-014-07,7,1,,,,,,,,,,,,,,,126,,,,,,,,,,,,887,2047.77206735431,10,2
6366,20,11,1-20-2017-011-01,1,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,47.9714768351659,11,2
6372,20,12,1-20-2017-012-07,7,1,,,60,,,,,,,,,,,,,,,,,,,,132,,,,887,670.91945689348,11,2
6364,18,7,1-18-2017-007-02,2,1,,,,,,,,,,,,,,,97,,,,,,,,,,,,887,124.559546533485,6,2
6371,15,7,1-15-2017-007-02,2,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,119,887,887,887,887,887,887,887,887,887,887,887,887,90.5972103651107,1,2
6371,15,7,1-15-2017-007-02,2,3,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,52,887,887,887,887,887,887,887,887,887,90.5972103651107,1,2
6375,24,13,1-24-2017-013-07,7,1,,,,,,,,,,,43,45,,,89,,,,,,,,,,,,887,556.161111626185,1,2
