CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
7662,17,53,1-17-2017-053-04,4,1,1,1,1,1,88,8,88,8,491.515429795034,4,2
7662,17,53,1-17-2017-053-04,4,2,1,1,1,1,88,8,88,8,491.515429795034,4,2
7662,17,53,1-17-2017-053-04,4,3,1,1,1,1,88,8,88,8,491.515429795034,4,2
7659,19,86,1-19-2017-086-08,8,1,1,1,1,1,88,8,88,8,521.301323210648,9,2
7673,22,83,1-22-2017-083-01,1,1,1,1,1,1,88,8,88,8,167.843685715869,12,2
7663,17,54,1-17-2017-054-10,10,1,1,1,1,1,88,8,88,8,2298.12604323796,4,2
7663,17,54,1-17-2017-054-10,10,2,1,1,1,1,88,8,88,8,2298.12604323796,4,2
7660,19,87,1-19-2017-087-04,4,1,1,1,1,1,88,8,88,8,2139.39588755144,9,2
7674,12,40,1-12-2017-040-05,5,1,1,1,1,1,88,8,88,8,628.832940754307,9,2
7674,12,40,1-12-2017-040-05,5,2,1,1,1,1,88,8,88,8,628.832940754307,9,2
7668,21,43,1-21-2017-043-10,10,1,1,1,1,1,88,8,88,8,2822.11706139299,11,2
7669,21,44,1-21-2017-044-03,3,1,1,1,1,1,88,8,88,8,201.922663798619,11,2
7672,13,71,1-13-2017-071-03,3,1,1,1,1,1,88,8,88,8,957.099681574314,7,2
7667,21,42,1-21-2017-042-07,7,1,1,1,1,1,88,8,88,8,722.11786068221,11,2
7670,13,69,1-13-2017-069-05,5,1,1,1,1,1,88,8,88,8,163.105542473971,7,2
7545,20,84,1-20-2017-084-01,1,3,1,1,1,1,88,8,88,8,50.0259744183163,11,2
7562,15,47,1-15-2017-047-03,3,2,1,1,1,1,88,8,88,8,774.693618845844,1,2
7563,22,78,1-22-2017-078-04,4,1,1,1,1,1,88,8,88,8,175.013038697505,12,2
7563,22,78,1-22-2017-078-04,4,2,1,1,1,1,88,8,88,8,175.013038697505,12,2
7514,10,33,1-10-2017-033-10,10,1,1,1,1,1,88,8,88,8,2415.69467836758,4,2
7564,30,64,1-30-2017-064-07,7,1,1,1,1,1,88,8,88,8,5273.73069432622,10,2
7566,26,43,1-26-2017-043-04,4,2,1,1,1,1,88,8,88,8,3976.0979650724,10,2
7571,23,70,1-23-2017-070-07,7,1,1,1,1,1,88,8,88,8,524.47352410438,5,2
7572,23,71,1-23-2017-071-10,10,1,1,1,1,1,88,8,88,8,2303.66960608184,5,2
7573,23,72,1-23-2017-072-03,3,1,1,1,1,1,88,8,88,8,138.091947184635,5,2
7573,23,72,1-23-2017-072-03,3,2,1,1,1,1,88,8,88,8,138.091947184635,5,2
7573,23,72,1-23-2017-072-03,3,4,1,1,1,1,88,8,88,8,138.091947184635,5,2
7576,24,74,1-24-2017-074-08,8,1,1,1,1,1,88,8,88,8,181.600731780546,1,2
7576,24,74,1-24-2017-074-08,8,2,1,1,1,1,88,8,88,8,181.600731780546,1,2
7577,32,82,1-32-2017-082-06,6,1,1,1,1,1,88,8,88,8,6809.55000197747,7,2
7577,32,82,1-32-2017-082-06,6,2,1,1,1,1,88,8,88,8,6809.55000197747,7,2
7586,12,38,1-12-2017-038-04,4,1,1,1,1,1,88,8,88,8,890.337454277011,9,2
7586,12,38,1-12-2017-038-04,4,2,1,1,1,1,88,8,88,8,890.337454277011,9,2
7581,26,44,1-26-2017-044-03,3,1,1,1,1,1,88,8,88,8,382.15173451401,10,2
7581,26,44,1-26-2017-044-03,3,2,1,1,1,1,88,8,88,8,382.15173451401,10,2
7588,19,84,1-19-2017-084-02,2,1,1,1,1,1,88,8,88,8,139.959423353599,9,2
7589,16,57,1-16-2017-057-03,3,1,1,1,1,1,88,8,88,8,1086.81269314683,5,2
7589,16,57,1-16-2017-057-03,3,2,1,1,1,1,88,8,88,8,1086.81269314683,5,2
7590,31,35,1-31-2017-035-10,10,1,1,1,1,1,88,8,88,8,1073.84216837139,6,2
7582,26,45,1-26-2017-045-03,3,1,1,1,1,1,88,8,88,8,382.1517345174,10,2
7582,26,45,1-26-2017-045-03,3,2,1,1,1,1,88,8,88,8,382.1517345174,10,2
