CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,CASEWGT,PSUSTRAT,VERSION
6095,24,1,1-24-2017-001-07,7,0,2056.9048385,1035.4042473,1081.0054256,1057.7780508,1056.7111447,1096.8558147,1022.1395081,1011.2231602,1105.5851418,1057.7139592,1056.7156026,1249.8256517,925.25911051,1135.5179574,1101.5001312,1056.433629,1066.6220728,1110.978301,1053.9271458,1058.7594312,1055.5560782,1057.396352,1057.0878855,1057.24455000333,1,2
6101,32,2,1-32-2017-002-02,2,80.943318205,83.845010981,84.897501571,79.945213592,82.362575348,82.362575348,84.869184713,80.073983449,80.896182217,83.831807006,82.362575348,82.362575348,0,173.44082298,87.79809263,82.21698581,82.362575348,88.182990495,78.238521518,86.567216111,83.806065594,81.017054889,82.362575348,82.362575348,82.3625753483227,7,2
6103,16,2,1-16-2017-002-03,3,286.53430389,312.50320412,298.88182393,299.79798424,299.33367263,299.33367263,298.38716694,300.27368654,0,615.20236212,299.33367263,299.33367263,294.02889574,304.28513873,302.46356094,302.01783143,299.33367263,301.27308196,295.32702254,303.26689787,302.90658258,295.97289606,299.33367263,299.33367263,299.333672633261,5,2
6104,16,3,1-16-2017-003-05,5,49.720127117,52.399656797,51.118690118,50.905606187,50.946442299,51.077346892,58.305752476,46.351716111,0,102.12634375,50.897540547,53.065154464,49.010572397,53.227148099,59.664422851,58.170852033,49.521327663,54.496356538,52.149734534,50.220547649,51.200180793,50.83496737,51.101045478,50.935962815,51.0113857468289,5,2
6105,19,2,1-19-2017-002-05,5,84.288673954,84.682925503,84.542493083,84.36330186,83.202432391,85.726676777,85.028509291,86.450672197,84.971952864,84.009255555,80.084497253,93.08228149,84.232945587,84.790275488,91.500612076,99.943676561,226.18068708,0,85.737213264,83.494946133,84.728035921,84.212028331,84.639790827,84.427182735,84.4524216922148,9,2
6106,19,3,1-19-2017-003-02,2,102.08901343,102.08901343,102.08901343,102.08901343,99.122841392,105.37059446,102.08901343,102.08901343,102.08901343,102.08901343,96.111345277,108.85929231,102.08901343,102.08901343,104.11356872,103.83590037,216.19026753,0,102.76236158,102.08901343,102.08901343,102.08901343,99.258156972,104.89477721,102.089013427492,9,2
6110,12,1,1-12-2017-001-06,6,835.78405318,828.39103441,830.71487294,832.99599493,773.55787845,899.5473949,831.35550912,832.33957488,836.19916455,827.85333183,713.08754966,993.35581379,855.25810125,858.98503766,947.54359437,853.99056653,0,1359.9961251,823.87975209,841.12670994,835.05723222,828.75853551,820.54154626,844.29393137,831.843534377453,9,2
6111,19,4,1-19-2017-004-05,5,84.288673954,84.682925503,84.542493083,84.36330186,83.202432391,85.726676777,85.028509291,86.450672197,84.971952864,84.009255555,80.084497253,93.08228149,84.232945587,84.790275488,91.500612076,99.943676561,226.18068708,0,85.737213264,83.494946133,84.728035921,84.212028331,84.639790827,84.427182735,84.4524216922148,9,2
6112,19,5,1-19-2017-005-03,3,639.39264963,639.39264963,639.39264963,639.39264963,602.60602186,677.52638176,639.39264963,639.39264963,639.39264963,639.39264963,624.25706797,657.56740103,639.39264963,639.39264963,650.594212,639.39264963,1746.0101274,0,639.39264963,639.39264963,639.39264963,639.39264963,628.10489925,651.08226496,639.392649632869,9,2
6113,29,1,1-29-2017-001-03,3,252.76975991,275.6785446,527.3245531,0,264.06088044,264.06088044,263.22590881,264.89012527,257.04831439,271.35416468,264.06088044,264.06088044,259.38120627,268.42887715,266.8219499,266.42874414,264.06088044,265.77175424,260.52636479,267.53062345,267.21276689,261.09613006,264.06088044,264.06088044,264.060880443883,2,2
6114,27,1,1-27-2017-001-07,7,2081.5270242,2067.5467591,2070.3449264,2076.7703024,0,4167.0743735,2079.2530365,2069.1206292,2071.6043068,2075.1990573,2114.2241398,2041.2678661,2102.4210902,2060.4801556,2112.4069394,2228.3863865,2213.9996229,1975.0938249,2164.8861537,2073.5539477,2073.1492713,2072.7690425,2028.5319016,2118.1371693,2072.96617929403,3,2
6117,17,2,1-17-2017-002-09,9,1506.9281407,1339.5066818,1440.9553879,1389.0054723,1414.1368922,1416.097432,0,2796.53273,1424.5675617,1406.7771123,1425.6225687,1418.0501003,1655.1663336,1350.1483863,1487.1434057,1442.2290317,1417.6137821,1417.7916911,1367.7697166,1461.8091116,1442.8721985,1389.9095505,1414.6960114,1415.5329343,1415.1062926472,4,2
6118,17,3,1-17-2017-003-08,8,190.98432495,181.95098489,186.17443717,186.48326414,183.70748093,189.51780944,0,346.32323991,207.49375609,175.25027541,192.59776999,180.25429795,166.6902826,236.98225113,247.45527395,188.85354675,182.17934835,235.75934896,194.00934664,194.60424905,199.59047326,176.84661256,188.24635048,184.41428688,186.330803198876,4,2
6121,13,2,1-13-2017-002-03,3,690.2435905,752.80108079,719.98801009,722.19498419,721.07648595,721.07648595,718.79641171,723.34092189,701.92712737,740.99240745,721.07648595,721.07648595,1416.5952066,0,728.6161952,727.54246012,721.07648595,725.74840426,711.42471125,730.55138467,729.6834072,712.98058101,721.07648595,721.07648595,721.076485952799,7,2
6122,13,3,1-13-2017-003-09,9,4418.9865527,3928.032037,4225.5249671,4073.1846052,4146.8811562,4152.6303348,4200.0391465,4100.34168,4177.4685391,4125.2989934,4180.562291,4158.3564306,9707.3743239,0,4360.9688704,4229.2598598,4157.0769506,4157.5986593,4010.911882,4286.6774018,4231.1459122,4075.8357664,4148.5207433,4150.9749753,4149.72387133394,7,2
6124,31,1,1-31-2017-001-10,10,1163.2647832,1028.2560573,1148.1581992,1135.574293,969.38028361,1203.2808222,1073.6013303,1074.076832,1062.1394356,1086.3514411,0,2845.7555749,1107.9335794,1234.4863758,1080.8058818,1109.7417905,930.52921777,1500.2907222,1158.1364396,1114.3760421,1058.0491829,1090.962357,1073.5528902,1077.4850189,1073.84216837139,6,2
6129,18,1,1-18-2017-001-10,10,6822.1232782,6030.3463887,6733.5286779,6659.7286619,5685.0614698,7056.8027381,6296.2798606,6299.0685041,6229.0600327,6371.0546055,10617.40912,0,6497.6259675,7239.8119178,6338.531925,6508.2304655,5457.2141521,8798.6573718,6792.0474152,6535.4086592,6205.0721934,6398.095944,6295.995777,6319.0562762,6297.69228784152,6,2
6130,23,3,1-23-2017-003-06,6,461.47116302,487.11427716,481.27512708,467.62998181,474.48120445,475.47454583,479.09168436,469.84543345,984.19466635,0,475.17236084,476.43325318,506.87151544,473.96426377,537.41533694,491.02495441,474.88392009,484.61630173,462.59751292,487.05347729,480.88732638,468.35833192,473.49524111,475.5260037,474.463369126954,5,2
6131,22,1,1-22-2017-001-02,2,57.594495336,57.594495336,57.594495336,57.594495336,55.921100955,59.445830725,57.594495336,57.594495336,57.594495336,57.594495336,54.222136559,61.414013051,57.594495336,57.594495336,58.73666761,58.580018346,60.982905687,61.636456244,57.974371152,57.594495336,57.594495336,57.594495336,0,118.35478773,57.5944953362226,12,2
6132,22,2,1-22-2017-002-06,6,199.24923499,197.48675421,198.04075263,198.58456752,184.41464026,214.45028724,198.19347901,198.4280783,199.34819671,197.358567,169.99863567,236.81402537,203.89180883,204.78030296,225.89248452,203.58963111,268.03952386,162.11016858,196.41127359,200.5229136,199.07596234,197.57436573,0,402.55594563,198.309823245595,12,2
6133,21,1,1-21-2017-001-03,3,301.32796543,298.65583177,299.93834959,300.0335619,299.98594819,299.98594819,299.95104645,300.02085805,297.20975284,302.81449667,299.98594819,299.98594819,299.74732689,300.22494972,301.03432832,304.237812,299.98594819,301.92958367,296.89695766,303.13989177,602.76067957,0,299.98594819,299.98594819,299.98594818982,11,2
6134,21,2,1-21-2017-002-09,9,446.30806433,435.9616557,440.12203414,441.75096144,440.62554156,441.2364187,440.93569107,440.92282224,437.57748709,444.36454099,444.20431985,441.84484319,445.34379129,471.58464483,531.55455265,398.29087788,441.70889245,441.76432645,433.23118912,449.02777827,888.0412649,0,440.79975537,441.06052901,440.927593351114,11,2
6137,33,1,1-33-2017-001-05,5,74.71933267,75.068824615,74.944335568,74.785488026,74.244485299,75.494824623,75.375174078,76.635878017,75.325038534,74.471636801,70.052303475,83.40941348,74.669931175,75.163987095,81.112495339,88.597013891,85.783122752,69.379628785,76.003418485,74.015717222,75.108813622,74.651388668,147.36432611,0,74.8644900335331,12,2
6140,20,2,1-20-2017-002-03,3,49.529490539,54.018399479,51.663847118,51.82221194,51.741952378,51.741952378,51.578342144,51.904440462,50.367860699,53.171049959,51.741952378,51.741952378,50.824983996,52.597848479,52.282975813,52.2059283,51.741952378,52.077193063,51.049374438,52.421838309,0,102.32203653,51.741952378,51.741952378,51.7419523783465,11,2
6142,15,1,1-15-2017-001-02,2,64.718916758,0,33.940258807,31.960436874,32.926847924,32.926847924,33.928938315,32.011916389,32.340614389,33.514216242,32.926847924,32.926847924,31.377380959,34.669020353,35.099854901,32.868644248,32.926847924,35.253729078,31.278136811,34.60777602,33.50392536,32.388936775,32.926847924,32.926847924,32.9268479237336,1,2
6144,26,1,1-26-2017-001-10,10,20289.606713,21367.064862,21032.268691,20629.137559,20821.352828,20840.250952,20917.330449,20744.119622,20331.125118,21339.766689,21067.421594,20560.430495,20390.629463,21271.542034,18780.256324,22939.339,21900.876549,20044.239847,20121.737922,0,21006.167373,20656.918715,20748.206366,20916.260629,20830.7351125155,10,2
6148,28,1,1-28-2017-001-04,4,205.31274579,204.32907503,204.59695458,205.00940612,391.80343015,0,205.23945774,204.39120259,205.25840297,209.30710151,185.26694929,228.66790009,206.95940445,206.99870662,221.24107174,210.2504248,235.22999097,181.6697623,205.28889741,204.36789631,204.98010996,204.62443621,197.73020624,211.93613538,204.800494620173,3,2
6149,25,2,1-25-2017-002-10,10,6288.607016,4443.1150783,0,11225.415751,5111.9400386,5164.9017498,5158.1150417,5112.7250581,4814.9483264,5478.9504255,5296.1902956,5159.0079085,5960.6356131,5347.3409197,4808.1904248,5639.52544,5078.9116185,5352.9465699,5783.1851284,5166.1086146,4930.1926386,5343.2171278,5146.4073088,5125.0912585,5135.48608998873,2,2
6150,10,1,1-10-2017-001-09,9,1146.7378086,1019.3339121,1096.5340544,1057.0013583,1076.1257933,1077.6177192,2179.8408434,0,1084.0632939,1070.5251694,1084.8661301,1079.1036551,1259.543679,1027.4320056,1131.6820783,1097.5032682,1078.7716269,1078.9070116,1040.8414344,1112.4032607,1097.9927034,1057.6893411,1076.5512702,1077.1881494,1076.86348486225,4,2
6151,25,3,1-25-2017-003-06,6,426.20767012,449.89125603,0,863.79172091,438.22354434,439.14097916,442.48171268,433.94201752,454.49352994,423.67371161,438.86188575,440.02642652,468.13873749,437.74610587,496.34854136,453.5030974,438.5954863,447.58416433,427.24794957,449.83510221,444.14014004,432.56855341,437.31292375,439.18850485,438.207071902862,2,2
6155,30,2,1-30-2017-002-05,5,36.894120387,38.882427665,37.931904374,37.773788442,37.804090304,37.901226215,43.264962819,34.394638419,37.858294592,37.890707844,37.767803448,39.37625084,36.367605295,39.496455936,44.273145045,43.164861845,36.74660405,40.43825419,0,74.530900796,37.992373382,37.721371902,37.918811416,37.79631415,37.8522806752521,10,2
6157,30,3,1-30-2017-003-04,4,810.9080469,746.25920909,772.07457821,781.8600944,777.33724472,776.4185726,800.90669364,755.00121058,805.39660997,769.86274297,777.08907253,776.63861698,716.52673294,864.95424186,768.9444247,853.19780158,779.63097803,776.72585789,0,1535.3595444,781.18574422,772.62423784,777.43527588,776.31009262,776.878031446285,10,2
6164,28,2,1-28-2017-002-06,6,219.00415178,217.06692673,217.67585231,218.27358468,405.39750999,0,217.84372101,218.10158007,219.11292523,216.92603017,186.8534502,260.29336955,224.10702179,225.08360724,248.28899328,223.77488413,294.61477515,178.18286713,215.88481569,220.40411151,218.81369971,217.16322465,215.01009101,221.23403239,217.971600402965,3,2
6165,23,4,1-23-2017-004-06,6,545.95592524,576.29370413,569.38553989,553.24228218,561.3478062,562.52300555,566.802359,555.86333209,1164.3780863,0,562.16549744,563.65723018,599.66803858,560.73622556,635.80373169,580.92033648,561.82424981,573.33840681,547.28848391,576.2217732,568.9267418,554.10397645,560.18133563,562.58388417,561.326705636604,5,2
6166,23,5,1-23-2017-005-04,4,1077.8512903,991.92066784,1026.2342118,1039.2410272,1033.2292982,1032.008208,1064.5575864,1003.5404534,2141.0510812,0,1032.8994301,1032.3006889,952.40054233,1149.6889804,1022.0736414,1134.0624314,1036.2781068,1032.4166487,1050.6266807,1020.3926773,1038.3446873,1026.9648142,1033.3596003,1031.8640174,1032.61891630804,5,2
6170,32,4,1-32-2017-004-03,3,881.48243013,961.37209419,919.46783647,922.28627466,920.85788538,920.85788538,917.94609393,923.74970578,896.40300689,946.29171065,920.85788538,920.85788538,0,1872.1807469,930.48654594,929.11532188,920.85788538,926.82420504,908.53199067,932.95789885,931.84943962,910.5189296,920.85788538,920.85788538,920.857885382022,7,2
6174,16,4,1-16-2017-004-02,2,39.325529927,40.735289357,41.246631752,38.840610434,40.015062312,40.015062312,41.232874279,38.903172026,0,81.457748666,40.015062312,40.015062312,38.132039155,42.132274943,42.655855922,39.94432904,40.015062312,42.842854835,38.011430562,42.057846445,40.716368116,39.361354183,40.015062312,40.015062312,40.0150623120713,5,2
6175,16,5,1-16-2017-005-09,9,3154.364047,2803.910554,3016.2671638,2907.523461,2960.1295841,2964.2334668,2998.0748576,2926.9087429,0,5889.4475794,2984.1718752,2968.3208724,3464.6623375,2826.1862082,3112.9498248,3018.9332075,2967.4075531,2967.7799596,2863.0719025,3059.9190372,3020.2795107,2909.4159147,2961.2999553,2963.0518369,2962.15877300143,5,2
6176,14,2,1-14-2017-002-06,6,568.83098806,600.43989264,593.24228252,576.42263682,584.86777502,586.09221416,590.55086868,579.15350636,606.58224108,565.44908242,585.71972678,587.27396178,624.7935907,584.23056969,0,1210.5207535,585.36418119,597.36077102,570.21937975,600.36494787,592.76426121,577.3204353,583.65243037,586.15564354,584.8457903551,8,2
6177,31,2,1-31-2017-002-10,10,1163.2647832,1028.2560573,1148.1581992,1135.574293,969.38028361,1203.2808222,1073.6013303,1074.076832,1062.1394356,1086.3514411,0,2845.7555749,1107.9335794,1234.4863758,1080.8058818,1109.7417905,930.52921777,1500.2907222,1158.1364396,1114.3760421,1058.0491829,1090.962357,1073.5528902,1077.4850189,1073.84216837139,6,2
6179,13,4,1-13-2017-004-03,3,1254.9665483,1368.7054642,1309.0463719,1313.0589824,1311.0253845,1311.0253845,1306.879867,1315.1424693,1276.2089737,1347.2355219,1311.0253845,1311.0253845,2575.5829119,0,1324.7337087,1322.781497,1311.0253845,1319.5196339,1293.4770081,1328.2521739,1326.6740605,1296.305813,1311.0253845,1311.0253845,1311.02538454043,7,2
6180,13,5,1-13-2017-005-03,3,1254.9665483,1368.7054642,1309.0463719,1313.0589824,1311.0253845,1311.0253845,1306.879867,1315.1424693,1276.2089737,1347.2355219,1311.0253845,1311.0253845,2575.5829119,0,1324.7337087,1322.781497,1311.0253845,1319.5196339,1293.4770081,1328.2521739,1326.6740605,1296.305813,1311.0253845,1311.0253845,1311.02538453678,7,2
6182,17,4,1-17-2017-004-09,9,408.93111503,363.4983953,391.02826311,376.93075154,383.75059867,384.28262518,0,758.88771111,386.58114192,381.7533946,386.8674364,384.81251562,449.15812245,366.38620659,403.56218367,391.37388847,384.69411309,384.74239179,371.16806051,396.68728311,391.54842295,377.17608885,383.90232536,384.12943893,384.013662303031,4,2
6183,17,5,1-17-2017-005-04,4,224.35480859,206.46834454,213.6107107,216.31808008,215.06673835,214.81256834,0,417.77400714,222.82995336,212.99875985,214.99807628,214.87344826,198.24222812,239.30782795,212.74468774,236.05516087,215.70134804,214.8975853,218.68800453,212.39479496,216.13150688,213.76278563,215.09386074,214.78255507,214.939687318745,4,2
6184,17,6,1-17-2017-006-04,4,224.3548086,206.46834455,213.61071071,216.31808008,215.06673836,214.81256835,0,417.77400715,222.82995337,212.99875985,214.99807629,214.87344827,198.24222813,239.30782796,212.74468774,236.05516088,215.70134804,214.8975853,218.68800454,212.39479497,216.13150689,213.76278564,215.09386075,214.78255507,214.939687324865,4,2
6185,12,2,1-12-2017-002-06,6,6646.6112583,6903.7101824,6876.1410985,6742.9377668,6446.7373261,6828.8699394,6845.8818124,6773.2097356,6722.6840314,6898.05408,5942.7849567,6877.7862049,6594.1587089,7025.2845034,7000.8781081,6612.7983015,0,6841.0333966,6866.1137039,6626.9407542,6757.3139688,6861.304902,6838.2935023,6768.0146021,6809.55000197747,9,2
6186,19,6,1-19-2017-006-04,4,1262.6764211,1256.6268314,1258.2742946,1260.8108776,1204.7984431,1316.2739139,1262.2256985,1257.0089168,1262.3422119,1287.2417678,1139.3944764,1406.3109652,1272.8033962,1273.0451051,1360.6358611,1293.0432199,2893.3358422,0,1262.5297532,1256.8655828,1260.6307058,1258.443307,1216.0436908,1303.410365,1259.52606882267,9,2
6187,19,7,1-19-2017-007-05,5,79.829814006,80.2032097,80.070206136,79.900494105,78.801034481,81.191746666,80.530512149,81.877442822,80.47694755,79.565176805,75.848037709,88.158240841,79.777033662,80.304880884,86.660241535,94.656669001,214.215758,0,81.201725774,79.078074285,80.245933782,79.757222927,80.162356842,79.960995691,79.9848995102589,9,2
6188,19,8,1-19-2017-008-08,8,310.02166695,303.95592469,305.98272154,307.83844628,290.88989119,326.14407246,311.61980191,302.78291526,320.30180963,304.91123571,294.3666555,320.81203296,315.26448667,337.65892984,336.88116296,349.80672572,683.12336771,0,328.10832317,312.85846413,316.11860916,301.5414681,299.91753303,313.56707523,306.905612993846,9,2
6189,19,9,1-19-2017-009-05,5,79.829814006,80.2032097,80.070206136,79.900494105,78.801034481,81.191746666,80.530512149,81.877442822,80.47694755,79.565176805,75.848037709,88.158240841,79.777033662,80.304880884,86.660241535,94.656669001,214.215758,0,81.201725774,79.078074285,80.245933782,79.757222927,80.162356842,79.960995691,79.9848995102589,9,2
6191,29,2,1-29-2017-002-05,5,229.17444097,241.52516797,471.24164439,0,234.8268822,235.43025931,268.74807052,213.64846077,235.16358184,235.36492257,234.60147988,244.59263913,225.90389812,245.33931463,275.0105751,268.12627538,228.25811681,251.18946327,240.373204,231.48102388,235.99643628,234.31306202,235.53949295,234.77857922,235.126225322891,2,2
6192,26,2,1-26-2017-002-09,9,3540.7167987,3458.6351475,3491.6408739,3504.5637196,3495.635373,3500.4816734,3498.0958967,3497.9938039,3471.4540988,3525.2981534,3524.0270635,3505.3085161,3533.0668859,3741.2446859,4217.0067817,3159.7797907,3504.2299717,3504.6697488,6873.9468166,0,3522.5698076,3474.0886624,3497.0174716,3499.0862794,3498.03165471544,10,2
6195,24,2,1-24-2017-002-02,2,0,144.67157969,73.243807355,68.971309107,71.056844907,71.056844907,73.21937749,69.082403008,69.79174035,72.324398351,71.056844907,71.056844907,67.713061923,74.816490422,75.746240628,70.931240125,71.056844907,76.078304406,67.498890919,74.684323835,72.302190406,69.896021096,71.056844907,71.056844907,71.0568449065563,1,2
6196,24,3,1-24-2017-003-03,3,0,751.29786589,359.27515864,360.37644221,359.81830982,359.81830982,358.68054916,360.94826694,350.26274953,369.75638622,359.81830982,359.81830982,353.4416271,365.77029025,363.58063669,363.04484118,359.81830982,362.14960446,355.00205894,364.5462993,364.11317717,355.77844042,359.81830982,359.81830982,359.818309819376,1,2
6197,21,3,1-21-2017-003-10,10,11734.878324,10280.940537,11529.07064,11406.33077,10735.100914,10846.320785,10780.874578,10788.159751,10568.300696,11013.049173,11122.027421,10833.943688,11118.075406,12407.767679,10704.878386,11303.051366,10665.741058,11241.215895,11511.344335,11309.292301,21006.167373,0,10807.482362,10762.718545,10784.5477453862,11,2
6198,22,3,1-22-2017-003-09,9,361.27020862,356.05258955,357.91340879,359.12407509,360.6200681,356.25656055,358.5599076,358.46601237,359.1110496,357.93122665,293.54546476,463.94755411,362.39061178,383.13314965,438.23920793,319.31845968,361.39998208,360.86526414,355.918713,361.29917707,359.35615505,357.7050675,0,725.89629157,358.511606967376,12,2
6199,22,4,1-22-2017-004-07,7,212.21058686,210.78530617,211.07057786,211.72564157,210.29154975,212.41552187,211.97875501,210.9457614,211.19897103,211.56545395,215.54404062,208.10618683,214.34072591,210.06486966,215.35877799,227.18282171,225.71609872,201.35977809,220.70900633,211.39773589,211.35647934,211.31771522,0,431.88594383,211.337813213927,12,2
6200,22,5,1-22-2017-005-04,4,220.68691092,219.62958123,219.91752005,220.36085665,210.57116632,230.05452475,220.60813493,219.696361,220.6284988,224.98037073,199.14005132,245.7909386,222.45687416,222.49911933,237.8079768,225.99433166,252.84440993,195.27350089,220.66127672,219.67130951,220.32936675,219.94705955,0,455.6125422,220.136301508367,12,2
6201,22,6,1-22-2017-006-03,3,50.661688327,50.661688327,50.661688327,50.661688327,47.74693372,53.683179507,50.661688327,50.661688327,50.661688327,50.661688327,49.462434439,52.101748033,50.661688327,50.661688327,51.549233815,50.661688327,69.171753022,41.01914367,50.661688327,50.661688327,50.661688327,50.661688327,0,103.17580848,50.6616883268184,12,2
6203,33,2,1-33-2017-002-03,3,119.34250582,119.34250582,119.34250582,119.34250582,118.50501853,120.19191459,119.34250582,119.34250582,119.34250582,119.34250582,111.92111465,127.81800594,119.34250582,119.34250582,121.43327512,119.34250582,140.8626893,104.19710759,119.34250582,119.34250582,119.34250582,119.34250582,234.50331172,0,119.342505820862,12,2
6204,33,3,1-33-2017-003-09,9,568.5959855,560.38407876,563.31278511,565.21822869,559.91079432,568.66831875,564.33029671,564.18251687,565.19772813,563.34082829,533.09822195,605.58381304,570.35936572,603.00563292,689.73596043,502.56896344,667.18234832,490.40397272,560.17337313,568.64157836,565.5834947,562.9848809,1108.4159196,0,564.254277306589,12,2
6206,20,3,1-20-2017-003-02,2,38.394136675,39.770507097,40.269738763,37.920702106,39.067338045,39.067338045,40.256307125,37.981781978,38.371778491,39.764244008,39.067338045,39.067338045,37.228912763,41.134406214,41.645586603,38.998280033,39.067338045,41.828156598,37.111160687,41.061740495,0,76.858224926,39.067338045,39.067338045,39.0673380453663,11,2
6207,20,4,1-20-2017-004-04,4,700.73951454,644.87375344,667.18189219,675.63796547,671.72958214,670.93571919,692.09692744,652.42808208,695.97685168,665.27055297,671.51512619,671.12586873,619.18067889,747.44308909,664.47699579,737.28385798,673.7116929,671.20125725,683.04007876,663.38415675,0,1335.3137521,671.81429496,670.84197711,671.332756770817,11,2
6209,15,2,1-15-2017-002-02,2,66.856708033,0,35.061371347,33.016152057,34.014485538,34.014485538,35.049676917,33.069332041,33.408887573,34.62125577,34.014485538,34.014485538,32.413836676,35.8142053,36.259271148,33.954359282,34.014485538,36.418228087,32.3113143,35.750937947,34.61062496,33.458806141,34.014485538,34.014485538,34.0144855376558,1,2
6210,15,3,1-15-2017-003-03,3,835.54830149,0,435.77714245,437.11292701,436.43594912,436.43594912,435.05592025,437.8065128,424.84568283,448.49018229,436.43594912,436.43594912,428.7014523,443.65531,440.99940421,440.34951949,436.43594912,439.26365622,430.5941535,442.17068946,441.64534079,431.53585318,436.43594912,436.43594912,436.435949116308,1,2
6211,18,2,1-18-2017-002-04,4,560.89651238,558.20920967,558.94103324,560.06781485,535.18639737,584.70518281,560.69629582,558.37893674,560.74805252,571.80874378,1012.2662898,0,565.39504021,565.50241029,604.41130945,574.38582071,642.62781656,496.30594382,560.83136068,558.31526601,559.9877803,559.01611064,540.18167574,578.99103499,559.497086859663,6,2
