CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
13091,27,12,1-27-2019-012-04,4,2,99,61.4094105564125,3,4
13036,10,10,1-10-2019-010-04,4,1,9,368.032665552816,4,4
12753,21,10,1-21-2019-010-03,3,1,1,551.958475626053,11,4
13040,21,20,1-21-2019-020-01,1,1,99,82.0590646182106,11,4
13044,15,20,1-15-2019-020-03,3,1,10,277.302201365995,1,4
12996,23,18,1-23-2019-018-06,6,2,99,918.264623891966,5,4
12848,73,7,1-73-2019-007-02,2,1,3,37.4577907392553,3,4
12810,31,7,1-31-2019-007-10,10,1,1,301.212188506147,6,4
12826,33,10,1-33-2019-010-09,9,1,8,228.003914392843,12,4
12864,19,10,1-19-2019-010-04,4,1,10,275.160459983308,9,4
12454,33,1,1-33-2019-001-07,7,1,7,106.863578762211,12,4
12779,66,9,1-66-2019-009-08,8,1,1,196.010558398465,6,4
12783,54,5,1-54-2019-005-04,4,1,8,319.742500330254,9,4
12786,48,6,1-48-2019-006-03,3,1,99,235.080469797351,12,4
12787,19,8,1-19-2019-008-06,6,1,9,349.483657860308,9,4
12816,29,12,1-29-2019-012-03,3,1,1,79.0567776499196,2,4
12449,17,1,1-17-2019-001-09,9,1,1,961.723266068137,4,4
12804,54,6,1-54-2019-006-04,4,1,3,319.742500330254,9,4
12452,26,1,1-26-2019-001-02,2,1,1,22.2200532685247,10,4
12721,66,7,1-66-2019-007-07,7,1,8,205.025289865617,6,4
12734,13,8,1-13-2019-008-07,7,1,2,1881.56980719056,7,4
12735,19,7,1-19-2019-007-06,6,1,10,923.531054651383,9,4
12731,22,10,1-22-2019-010-01,1,1,3,37.8035550927097,12,4
12706,12,8,1-12-2019-008-04,4,1,6,2113.30005715441,9,4
12711,48,4,1-48-2019-004-03,3,1,99,292.016557069451,12,4
12673,22,6,1-22-2019-006-10,10,1,1,1045.92996383781,12,4
12677,30,7,1-30-2019-007-07,7,1,3,650.364252223527,10,4
12642,14,3,1-14-2019-003-01,1,1,10,404.045672436521,8,4
12669,15,7,1-15-2019-007-02,2,1,3,26.7385076311537,1,4
12615,19,5,1-19-2019-005-08,8,1,1,381.966493849879,9,4
12510,54,1,1-54-2019-001-06,6,1,1,880.16844999361,9,4
12496,32,3,1-32-2019-003-06,6,1,99,1882.75480161728,7,4
12527,17,3,1-17-2019-003-06,6,1,9,237.495424998864,4,4
12548,15,2,1-15-2019-002-03,3,1,9,928.39630963818,1,4
12921,23,16,1-23-2019-016-02,2,1,99,56.2593164599354,5,4
12922,23,17,1-23-2019-017-06,6,1,1,1385.04482984387,5,4
12944,31,12,1-31-2019-012-10,10,1,10,301.212188506147,6,4
12965,21,16,1-21-2019-016-05,5,1,1,20.8798947323733,11,4
12981,54,10,1-54-2019-010-04,4,1,10,403.740327905593,9,4
12910,11,15,1-11-2019-015-06,6,1,3,1360.61025491139,8,4
12912,11,17,1-11-2019-017-05,5,1,1,105.115102507122,8,4
13014,14,11,1-14-2019-011-04,4,1,10,1755.07261413879,8,4
15489,77,124,1-77-2019-124-04,4,1,2,2764.78538453317,9,4
15940,77,147,1-77-2019-147-06,6,1,2,646.297460407386,9,4
16075,21,135,1-21-2019-135-02,2,1,1,94.6859574953692,11,4
15630,24,135,1-24-2019-135-04,4,1,10,1772.7560626125,1,4
15632,76,61,1-76-2019-061-02,2,1,99,20.1590107600074,3,4
15633,28,66,1-28-2019-066-03,3,1,99,658.546491569219,3,4
14822,24,100,1-24-2019-100-03,3,1,99,515.47578939872,1,4
14824,24,102,1-24-2019-102-04,4,1,9,1447.22846075644,1,4
15045,77,108,1-77-2019-108-02,2,1,9,82.9547267506105,9,4
14827,77,101,1-77-2019-101-05,5,1,10,103.127269087679,9,4
15620,17,139,1-17-2019-139-05,5,1,8,61.2546060121394,4,4
15805,25,83,1-25-2019-083-06,6,2,10,188.580151117059,2,4
14175,21,60,1-21-2019-060-01,1,1,99,34.4649228608809,11,4
14176,21,61,1-21-2019-061-01,1,1,8,34.4649228608809,11,4
15827,66,76,1-66-2019-076-06,6,1,2,126.563264397582,6,4
15386,19,69,1-19-2019-069-05,5,1,9,175.390063424245,9,4
15389,10,62,1-10-2019-062-01,1,2,99,26.9627623500112,4,4
16041,32,159,1-32-2019-159-04,4,1,1,4206.62221532593,7,4
16070,33,101,1-33-2019-101-05,5,1,9,49.0636373285331,12,4
15415,54,31,1-54-2019-031-04,4,2,8,539.892575500541,9,4
15278,77,115,1-77-2019-115-02,2,1,9,91.4212064025226,9,4
15279,77,116,1-77-2019-116-02,2,2,99,91.4212064025226,9,4
14260,11,69,1-11-2019-069-05,5,3,7,226.724281963731,8,4
13633,24,48,1-24-2019-048-02,2,1,9,57.6076865340657,1,4
15920,30,112,1-30-2019-112-02,2,1,8,12.0830353620144,10,4
15373,25,71,1-25-2019-071-03,3,3,99,436.314493543007,2,4
15961,25,88,1-25-2019-088-05,5,1,1,207.997306850025,2,4
15962,31,72,1-31-2019-072-09,9,1,3,533.373190299145,6,4
15987,52,89,1-52-2019-089-09,9,1,9,594.667746037613,12,4
15988,52,90,1-52-2019-090-08,8,1,1,119.620795212492,12,4
15984,17,152,1-17-2019-152-09,9,1,10,516.249119034867,4,4
15992,21,133,1-21-2019-133-03,3,1,99,685.041207145976,11,4
15952,11,115,1-11-2019-115-06,6,1,10,5432.90629378997,8,4
15954,24,146,1-24-2019-146-02,2,1,9,90.7625623259036,1,4
16018,77,149,1-77-2019-149-09,9,1,2,532.617378338921,9,4
15449,76,55,1-76-2019-055-07,7,1,99,22.1484030724278,3,4
15778,22,91,1-22-2019-091-09,9,1,9,230.452816733833,12,4
15638,25,77,1-25-2019-077-03,3,1,9,1435.41595886361,2,4
15651,14,63,1-14-2019-063-03,3,2,1,5622.58148632266,8,4
15652,26,146,1-26-2019-146-06,6,1,1,1136.54657041548,10,4
15695,32,143,1-32-2019-143-02,2,1,10,39.0916251009869,7,4
15704,66,73,1-66-2019-073-09,9,2,2,399.760061142086,6,4
15663,22,90,1-22-2019-090-10,10,1,5,22176.1474139505,12,4
