CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
12455,59,2,1-59-2019-002-04,4,1,3,8,1,99,1,99,99,99,99,59,9,9,1,999,999,999,9999999,999,999,2,1,1,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,1,4,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,1,1,1,1,7,99,60,60,60,60,1,1,60,,,,,,,,,60,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,3,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,4,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,5,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,6,5,1,1,7,99,60,60,60,60,1,1,60,,,,,,,,,60,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,7,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,388.969009954007,6,4
12462,22,1,1-22-2019-001-08,8,1,1,1,1,1,1,0,1,0,0,50,2,1,1,33,-29,-17,86252,998,34,0,1,1,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,1,2,8,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,1,3,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,1,4,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,1,1,1,2,1,0,1,0,0,50,1,2,1,34,-32,12,77119,998,34,0,1,1,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,2,2,1,2,1,0,1,0,0,50,,,,,,,,,,,,,89.5221923404952,12,4
12468,18,1,1-18-2019-001-08,8,1,1,1,1,1,1,0,1,0,0,50,1,1,1,21,-21,0,32367,998,20,0,1,1,145.317860723262,6,4
12468,18,1,1-18-2019-001-08,8,1,2,3,1,1,1,0,1,0,0,50,,,,,,,,,,,,,145.317860723262,6,4
12471,21,1,1-21-2019-001-03,3,1,1,1,9,79,79,79,79,79,79,79,9,9,79,,,,,,,,,79,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,1,2,8,9,79,79,79,79,79,79,79,9,9,79,,,,,,,,,79,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,1,1,1,99,1,0,1,0,0,50,9,9,1,31,-30,5,41715,998,29,0,1,1,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,2,3,1,99,7,0,60,60,60,60,,,,,,,,,,,,,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,3,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,5,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,184.469405006755,11,4
12471,21,1,1-21-2019-001-03,3,2,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,184.469405006755,11,4
12475,10,1,1-10-2019-001-10,10,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1588.71975497458,4,4
12475,10,1,1-10-2019-001-10,10,1,2,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1588.71975497458,4,4
12475,10,1,1-10-2019-001-10,10,1,3,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1588.71975497458,4,4
12475,10,1,1-10-2019-001-10,10,1,4,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1588.71975497458,4,4
12476,20,1,1-20-2019-001-09,9,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,138.068676004783,11,4
