CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
15180,77,112,1-77-2019-112-06,6,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,109,887,887,887,887,887,887,887,887,887,887,887,887,887,575.17005783841,9,4
15180,77,112,1-77-2019-112-06,6,3,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,575.17005783841,9,4
15183,11,101,1-11-2019-101-04,4,1,887,887,269,887,887,887,887,269,887,887,48,52,887,887,118,887,887,887,887,887,887,887,887,887,887,887,887,887,8455.34626172804,8,4
15183,11,101,1-11-2019-101-04,4,2,887,887,270,887,887,887,887,270,887,887,40,42,887,887,102,887,887,50,887,887,887,887,887,887,887,887,887,887,8455.34626172804,8,4
15186,24,116,1-24-2019-116-09,9,1,887,887,887,887,887,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,999,43,74,887,999,1509.43902382704,1,4
15187,24,117,1-24-2019-117-02,2,1,887,887,887,887,887,887,887,887,887,887,999,999,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,57.6076865340657,1,4
15187,24,117,1-24-2019-117-02,2,2,887,887,887,887,887,887,887,887,887,887,44,45,887,887,108,887,887,887,887,887,887,887,887,887,887,887,887,887,57.6076865340657,1,4
15187,24,117,1-24-2019-117-02,2,3,887,887,887,887,887,887,887,887,887,887,41,55,887,887,120,887,887,887,887,887,887,887,887,887,887,887,887,999,57.6076865340657,1,4
15188,24,118,1-24-2019-118-06,6,1,887,887,887,887,887,887,887,887,887,887,30,40,887,887,124,887,887,887,887,887,887,887,887,887,887,887,887,887,531.727430239319,1,4
15188,24,118,1-24-2019-118-06,6,2,887,887,887,887,887,887,887,887,887,887,36,46,887,887,104,887,887,887,887,887,887,887,887,887,887,887,887,887,531.727430239319,1,4
15185,12,66,1-12-2019-066-09,9,1,887,887,300,887,887,887,887,300,887,887,49,887,887,887,136,887,887,887,887,887,13,19,132,887,47,88,294,187,637.187507262266,9,4
15185,12,66,1-12-2019-066-09,9,2,887,887,887,887,887,887,887,887,887,887,43,887,887,887,122,887,887,50,887,887,887,887,116,887,35,84,887,887,637.187507262266,9,4
15189,73,69,1-73-2019-069-03,3,1,102,887,302,887,113,102,887,302,887,113,49,887,159,157,118,887,887,887,887,210,13,16,118,887,39,91,887,887,32.4164274432842,3,4
15189,73,69,1-73-2019-069-03,3,2,95,887,286,887,97,95,887,286,887,97,43,41,887,887,115,887,887,887,887,169,12,13,107,887,37,88,887,887,32.4164274432842,3,4
15190,73,70,1-73-2019-070-09,9,1,887,887,265,887,887,887,887,295,887,887,27,887,887,887,120,887,887,887,887,228,8,11,125,887,47,78,887,887,35.2476757598411,3,4
15191,48,59,1-48-2019-059-01,1,1,887,887,887,887,887,887,887,887,887,887,38,887,887,887,114,74,91,54,887,887,887,887,103,887,34,83,887,887,108.356258291908,12,4
15197,25,68,1-25-2019-068-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,121,887,887,54,887,887,887,887,113,887,35,79,887,887,444.181443381317,2,4
15195,16,74,1-16-2019-074-10,10,1,887,887,271,887,887,887,887,276,887,887,42,46,887,887,118,887,887,999,887,887,9,29,106,887,887,887,887,887,12727.988694097,5,4
15198,31,64,1-31-2019-064-06,6,1,887,887,887,887,887,887,887,887,887,887,32,887,887,887,136,887,887,887,887,887,887,887,887,887,887,887,887,887,473.19273596211,6,4
15194,52,64,1-52-2019-064-03,3,1,887,887,263,887,887,887,887,887,887,887,37,887,887,887,108,887,887,887,887,887,10,13,112,887,887,887,887,887,84.3347165524382,12,4
15201,32,125,1-32-2019-125-02,2,1,887,887,272,887,887,887,887,250,887,887,999,887,887,887,128,887,887,45,887,887,13,25,104,887,34,81,887,887,81.304598818377,7,4
15203,28,57,1-28-2019-057-09,9,1,887,887,887,887,887,887,887,266,887,887,38,887,887,887,126,887,887,55,887,887,12,24,97,887,39,72,887,887,728.373239777465,3,4
15200,32,124,1-32-2019-124-06,6,1,887,887,887,887,887,887,887,887,887,887,40,887,887,887,127,887,887,887,887,173,887,887,119,887,35,87,887,887,2485.16445310099,7,4
15196,16,75,1-16-2019-075-05,5,1,887,887,887,887,887,887,887,887,887,887,48,58,887,887,106,887,887,887,887,172,887,887,113,887,38,86,887,887,47.5021637420378,5,4
15201,32,125,1-32-2019-125-02,2,2,887,887,999,887,887,887,887,887,887,887,42,50,887,887,117,887,887,50,887,887,887,887,99,887,35,80,887,887,81.304598818377,7,4
15194,52,64,1-52-2019-064-03,3,2,887,887,286,887,887,887,887,267,887,887,38,887,887,887,139,887,887,887,887,887,15,20,119,887,887,887,887,887,84.3347165524382,12,4
15199,52,63,1-52-2019-063-03,3,1,887,887,282,887,887,887,887,283,887,887,887,48,887,887,120,887,887,887,887,887,9,18,114,887,887,887,887,887,84.3347165524382,12,4
15199,52,63,1-52-2019-063-03,3,2,887,887,253,887,887,887,887,260,887,887,51,887,887,887,110,887,887,887,887,156,13,11,107,887,40,87,887,887,84.3347165524382,12,4
15192,52,62,1-52-2019-062-07,7,1,887,887,435,887,887,887,887,442,887,887,50,887,887,887,145,887,887,887,887,887,10,21,142,887,887,887,331,250,475.454544579263,12,4
15204,23,32,1-23-2019-032-03,3,1,887,887,360,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,12,20,137,887,887,887,887,170,701.779484082568,5,4
15211,76,49,1-76-2019-049-10,10,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,120,887,887,887,887,157,8,18,120,5,45,82,887,887,311.883187628845,3,4
15213,19,62,1-19-2019-062-02,2,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,136,887,887,887,887,887,887,887,887,10,49,887,305,187,48.252096433913,9,4
15209,14,55,1-14-2019-055-02,2,1,887,887,887,887,887,887,887,887,887,887,35,887,887,887,136,887,887,887,887,887,887,887,887,887,887,887,887,170,186.99644044556,8,4
15206,10,56,1-10-2019-056-08,8,1,887,887,887,887,887,887,887,887,887,887,35,887,887,887,111,887,887,887,887,887,12,18,116,8,37,81,887,887,391.330862767312,4,4
15214,19,63,1-19-2019-063-02,2,1,887,887,887,887,887,887,887,298,887,887,41,42,887,887,137,887,887,887,887,887,14,23,887,8,33,887,887,887,48.252096433913,9,4
15210,14,56,1-14-2019-056-01,1,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,887,887,887,999,190,401.562986691149,8,4
15210,14,56,1-14-2019-056-01,1,2,887,887,386,887,887,887,887,887,887,887,40,887,887,887,133,887,887,887,887,887,999,999,887,7,56,887,887,206,401.562986691149,8,4
15215,19,64,1-19-2019-064-03,3,1,887,887,256,887,887,887,887,887,887,887,16,35,887,887,104,887,887,45,887,887,10,24,97,887,887,887,887,887,945.540854326344,9,4
15215,19,64,1-19-2019-064-03,3,2,887,887,887,887,887,887,887,887,887,887,40,67,887,887,133,887,887,887,887,887,887,887,887,887,887,887,887,220,945.540854326344,9,4
15225,17,121,1-17-2019-121-05,5,1,887,887,887,887,887,887,887,887,887,887,51,55,887,887,97,887,887,51,887,887,999,999,103,999,35,81,887,887,63.6790843284297,4,4
15223,26,129,1-26-2019-129-05,5,2,887,887,887,887,887,887,887,887,887,887,48,887,887,887,139,887,887,887,887,118,999,999,111,7,35,80,887,887,49.7311646324319,10,4
15224,17,120,1-17-2019-120-06,6,1,887,887,887,887,887,887,887,887,887,887,45,44,887,887,116,887,887,15,23,169,887,887,107,887,37,88,887,887,767.074028688966,4,4
15219,26,128,1-26-2019-128-02,2,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,131,887,887,57,887,887,999,999,112,4,35,87,887,887,20.7207279162776,10,4
15220,29,115,1-29-2019-115-06,6,1,887,887,887,887,887,887,887,887,887,887,41,887,887,887,99,887,887,887,887,212,887,887,132,887,43,90,887,887,182.844410786174,2,4
15220,29,115,1-29-2019-115-06,6,2,887,887,887,887,887,887,887,887,887,887,38,42,887,887,120,887,887,51,65,83,887,887,107,887,36,79,887,887,182.844410786174,2,4
15226,33,87,1-33-2019-087-04,4,1,887,887,887,887,887,887,887,887,887,887,43,887,887,887,117,887,887,50,887,887,887,887,99,887,35,80,887,887,518.49281871722,12,4
15051,24,112,1-24-2019-112-03,3,1,887,887,273,887,887,887,887,887,887,887,28,33,887,887,109,887,887,887,887,887,13,17,116,887,887,887,887,887,544.045600225951,1,4
15226,33,87,1-33-2019-087-04,4,2,887,887,887,887,887,887,887,887,887,887,887,999,887,887,887,887,887,999,999,999,887,887,887,887,887,887,887,887,518.49281871722,12,4
15221,29,116,1-29-2019-116-07,7,1,887,887,887,887,887,887,887,887,887,887,19,887,887,887,121,887,887,887,887,887,887,887,887,887,887,887,887,887,628.670521293679,2,4
15221,29,116,1-29-2019-116-07,7,2,887,887,887,887,887,887,887,261,887,887,887,887,887,887,102,887,887,71,887,887,12,16,110,887,33,79,887,887,628.670521293679,2,4
15230,13,77,1-13-2019-077-03,3,2,887,887,887,887,887,887,887,887,887,887,45,887,887,887,113,887,887,887,887,156,887,887,116,887,34,91,887,887,3021.84057502,7,4
15234,20,45,1-20-2019-045-04,4,1,887,887,290,887,887,887,887,290,887,887,32,887,887,887,88,887,887,887,887,172,12,28,108,887,35,89,887,887,4128.7139267414,11,4
15227,18,57,1-18-2019-057-04,4,1,887,887,887,887,887,887,887,887,887,887,45,887,887,887,121,887,887,50,887,887,887,887,887,887,887,887,887,887,549.59028650904,6,4
15205,10,55,1-10-2019-055-02,2,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,123,999,999,887,887,140,887,887,887,887,887,887,887,887,18.8599899753226,4,4
15234,20,45,1-20-2019-045-04,4,2,887,887,258,887,887,887,887,260,887,887,22,20,887,887,112,887,887,52,887,887,9,16,106,887,37,79,887,887,4128.7139267414,11,4
15255,21,109,1-21-2019-109-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,132,999,999,887,887,887,887,887,133,887,46,86,278,887,685.20551192805,11,4
15255,21,109,1-21-2019-109-03,3,2,887,887,887,887,887,887,887,887,887,887,24,887,887,887,132,887,887,887,887,168,887,887,111,887,36,84,887,887,685.20551192805,11,4
15254,21,108,1-21-2019-108-05,5,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,106,887,887,887,887,156,999,999,113,999,41,84,887,887,63.8131630846085,11,4
15228,18,58,1-18-2019-058-08,8,1,887,887,284,887,887,887,887,325,887,887,47,887,887,887,120,887,887,887,887,887,7,15,117,6,45,887,187,142,160.380731191584,6,4
15257,30,91,1-30-2019-091-04,4,1,887,887,887,887,887,887,887,887,887,887,45,887,887,887,150,887,887,887,887,887,887,887,887,887,887,887,887,887,1186.46830306593,10,4
15257,30,91,1-30-2019-091-04,4,2,887,887,887,887,887,887,887,887,887,887,40,42,887,887,115,887,887,55,887,887,887,887,887,887,887,887,887,887,1186.46830306593,10,4
15222,29,117,1-29-2019-117-07,7,1,887,887,887,887,887,887,887,887,887,887,19,887,887,887,106,887,887,43,887,887,887,887,110,887,36,81,887,887,628.670521293679,2,4
15222,29,117,1-29-2019-117-07,7,2,887,887,887,887,887,887,887,338,887,887,887,887,887,887,887,887,887,887,887,887,12,20,134,887,887,887,271,181,628.670521293679,2,4
15229,22,81,1-22-2019-081-01,1,1,887,887,270,887,887,887,887,272,887,887,34,36,887,887,887,887,887,887,887,887,7,16,115,5,42,76,887,887,49.9140442610513,12,4
15232,15,70,1-15-2019-070-03,3,1,887,887,887,887,887,887,887,887,887,887,50,887,887,887,126,887,887,887,887,887,887,887,887,887,887,887,887,887,63.9082564623528,1,4
15207,10,57,1-10-2019-057-05,5,1,887,887,887,887,887,887,887,887,887,887,28,887,887,887,138,887,887,887,887,887,887,887,887,887,887,887,887,887,51.0022741943722,4,4
15267,66,63,1-66-2019-063-04,4,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,11,25,127,887,887,887,887,887,782.644851318856,6,4
15217,26,126,1-26-2019-126-03,3,4,887,887,274,887,887,887,887,887,887,887,38,887,887,887,129,887,887,61,887,887,16,17,113,887,30,85,887,887,533.997477522729,10,4
15032,13,73,1-13-2019-073-03,3,2,887,887,887,887,887,887,887,887,887,887,887,50,887,887,887,887,887,16,35,160,887,887,887,887,887,887,887,887,1041.61499401183,7,4
