CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
13511,17,42,1-17-2019-042-06,6,1,1941,1017,993,P215/60R16,220,P215/60R16,220,,,,,,,,,255.026119922489,4,4
13513,20,22,1-20-2019-022-02,2,1,2225,1266,1266,P215/65R17,210,P215/65R17,210,,,,,,,,,74.1457749173779,11,4
13511,17,42,1-17-2019-042-06,6,2,1742,948,839,P205/55R16,220,P205/55R16,220,,,,,,,,,255.026119922489,4,4
13513,20,22,1-20-2019-022-02,2,2,1834,948,886,P205/65R16,240,P205/65R16,240,,,,,,,,,74.1457749173779,11,4
13513,20,22,1-20-2019-022-02,2,3,3266,1792,1792,P265/70R17,241,P265/70R17,241,,,,,,,,,74.1457749173779,11,4
13519,33,39,1-33-2019-039-04,4,3,1854,930,1010,P235/60R16,200,P235/60R16,200,,,,,,,,,106.158137072877,12,4
13519,33,39,1-33-2019-039-04,4,4,2246,1275,1275,P235/55R18,220,P235/55R18,220,,,,,,,,,106.158137072877,12,4
13526,26,44,1-26-2019-044-03,3,1,1860,1020,920,P215/55R17,240,P215/55R17,240,,,,,,,,,363.369043519196,10,4
13515,29,41,1-29-2019-041-03,3,1,2071,1209,1136,9999999999,999,9999999999,999,,,,,,,,,181.918721096908,2,4
13516,29,42,1-29-2019-042-05,5,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,17.3618036065382,2,4
13516,29,42,1-29-2019-042-05,5,2,2773,1279,1588,P265/65R17,240,P265/65R17,240,,,,,,,,,17.3618036065382,2,4
13528,18,21,1-18-2019-021-03,3,1,2386,1279,1143,P235/55R18,220,P235/55R18,220,,,,,,,,,287.528372136407,6,4
13521,33,41,1-33-2019-041-03,3,1,1921,1050,880,P205/65R15,210,P205/65R15,210,,,,,,,,,32.9516108217655,12,4
13515,29,41,1-29-2019-041-03,3,2,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,181.918721096908,2,4
13521,33,41,1-33-2019-041-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,32.9516108217655,12,4
13527,26,45,1-26-2019-045-03,3,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,363.369043519196,10,4
13533,25,25,1-25-2019-025-07,7,1,1626,855,780,P185/65R15,210,P185/65R15,210,,,,,,,,,458.811479711025,2,4
13476,11,40,1-11-2019-040-07,7,1,2125,1200,936,9999999999,999,9999999999,999,,,,,,,,,3383.71612360217,8,4
13476,11,40,1-11-2019-040-07,7,2,1594,872,735,P185/55R16,230,P185/55R16,230,,,,,,,,,3383.71612360217,8,4
13517,29,43,1-29-2019-043-07,7,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,772.689245964743,2,4
13480,11,41,1-11-2019-041-05,5,1,1594,872,735,P175/65R15,220,P175/65R15,220,,,,,,,,,85.3470688507436,8,4
13480,11,41,1-11-2019-041-05,5,2,2765,1325,1525,P235/60R18,240,P235/60R18,240,,,,,,,,,85.3470688507436,8,4
13480,11,41,1-11-2019-041-05,5,3,2294,1210,1280,P235/60R17,240,P235/60R17,240,,,,,,,,,85.3470688507436,8,4
13535,13,31,1-13-2019-031-02,2,1,2023,1068,959,P235/50R17,230,P235/50R17,230,,,,,,,,,100.205046713412,7,4
13537,30,39,1-30-2019-039-03,3,1,2061,1069,992,P225/55R19,240,P225/55R19,240,,,,,,,,,664.261708181593,10,4
13537,30,39,1-30-2019-039-03,3,2,2450,1259,1452,LT265/70R17,255,LT265/70R17,255,,,,,,,,,664.261708181593,10,4
13538,30,40,1-30-2019-040-03,3,2,2000,1065,995,P215/55R18,240,P215/55R18,240,,,,,,,,,664.261707948297,10,4
13534,13,30,1-13-2019-030-04,4,1,2030,1095,950,P225/50R17,230,P225/50R17,230,,,,,,,,,6312.09824679821,7,4
13514,32,47,1-32-2019-047-03,3,2,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,967.020096116497,7,4
13539,30,41,1-30-2019-041-02,2,2,1917,1010,940,P215/60R16,220,P215/60R16,220,,,,,,,,,26.3309865805876,10,4
13531,15,30,1-15-2019-030-02,2,1,2576,1386,1386,P245/45R19,230,P245/45R19,230,,,,,,,,,79.7762294241773,1,4
13531,15,30,1-15-2019-030-02,2,2,2395,1135,1260,P245/45R18,260,P245/45R18,300,,,,,,,,,79.7762294241773,1,4
13500,14,22,1-14-2019-022-04,4,2,2767,1361,1497,P245/70R17,260,P245/70R17,260,,,,,,,,,4514.9411141826,8,4
13547,31,24,1-31-2019-024-04,4,1,1785,1030,950,P195/65R15,250,P195/65R15,250,,,,,,,,,1113.65628064351,6,4
13548,22,40,1-22-2019-040-10,10,1,1497,835,826,P185/60R15,220,P185/60R15,220,,,,,,,,,233.379856171248,12,4
13261,30,31,1-30-2019-031-05,5,2,2250,1175,1240,P235/60R17,240,P235/60R17,240,,,,,,,,,36.4327547798371,10,4
13526,26,44,1-26-2019-044-03,3,3,1695,900,810,P215/55R16,220,P215/55R16,220,,,,,,,,,363.369043519196,10,4
