CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
12611,15,5,1-15-2019-005-03,3,1,300,511,192,1980,168,100,113,999,6,3.5,2,1,9,0,216.704505363366,1,4
12564,76,2,1-76-2019-002-04,4,2,338,557,202,2569,171,101,118,180,8,6.0,2,3,1,1,77.917895304151,3,4
12611,15,5,1-15-2019-005-03,3,2,267,448,186,1696,161,91,90,999,4,2.4,2,4,0,0,216.704505363366,1,4
12581,27,2,1-27-2019-002-03,3,1,281,463,190,1850,160,91,93,160,4,2.0,2,4,0,0,211.9833680347,3,4
12617,17,6,1-17-2019-006-06,6,1,287,522,193,1940,166,108,128,154,6,3.7,2,4,0,1,137.90204803205,4,4
12617,17,6,1-17-2019-006-06,6,2,274,487,185,1602,158,99,114,153,4,2.5,2,1,0,0,137.90204803205,4,4
12607,17,4,1-17-2019-004-07,7,1,260,437,177,1290,151,93,84,152,4,1.4,2,1,0,0,452.047117548419,4,4
12607,17,4,1-17-2019-004-07,7,2,343,559,199,2091,170,98,118,180,8,5.9,2,2,0,0,452.047117548419,4,4
12583,14,2,1-14-2019-002-04,4,1,257,414,180,1231,158,83,73,140,4,1.6,2,1,0,0,4362.98071568567,8,4
12583,14,2,1-14-2019-002-04,4,2,270,458,180,1383,156,93,96,999,4,2.5,9,1,9,0,4362.98071568567,8,4
12618,26,5,1-26-2019-005-07,7,1,272,480,185,1575,158,98,110,150,6,3.5,2,1,0,0,2053.2086874054,10,4
12618,26,5,1-26-2019-005-07,7,2,272,481,180,1490,155,94,115,146,4,2.4,9,1,0,0,2053.2086874054,10,4
12602,26,3,1-26-2019-003-04,4,1,308,514,200,2050,166,96,111,182,6,3.6,2,1,0,0,1404.17383216407,10,4
12602,26,3,1-26-2019-003-04,4,2,272,481,180,1435,155,94,115,152,4,2.4,2,1,0,0,1404.17383216407,10,4
12581,27,2,1-27-2019-002-03,3,2,262,450,182,1687,154,89,98,160,6,2.7,2,4,0,0,211.9833680347,3,4
12620,20,3,1-20-2019-003-02,2,1,334,558,195,2239,161,92,134,999,8,5.7,2,2,9,0,87.6367398906174,11,4
12620,20,3,1-20-2019-003-02,2,2,257,412,170,1159,149,82,73,999,4,1.6,2,1,0,0,87.6367398906174,11,4
12570,52,1,1-52-2019-001-06,6,3,286,501,184,1837,156,98,118,154,6,3.6,2,4,0,1,72.9319482362143,12,4
12623,29,8,1-29-2019-008-04,4,1,265,459,178,1543,153,95,99,160,4,2.0,1,4,0,0,320.221964211329,2,4
12623,29,8,1-29-2019-008-04,4,2,338,556,203,2520,174,100,117,999,8,6.0,2,2,1,0,320.221964211329,2,4
12635,24,4,1-24-2019-004-03,3,1,269,461,185,1812,151,82,111,160,6,4.0,2,3,0,0,486.018537411329,1,4
12635,24,4,1-24-2019-004-03,3,2,266,463,185,1755,158,99,98,179,4,2.0,2,4,0,0,486.018537411329,1,4
12633,11,5,1-11-2019-005-05,5,1,284,500,186,1785,156,102,114,148,4,2.4,2,1,0,0,124.000975756859,8,4
12636,24,5,1-24-2019-005-03,3,1,285,487,185,1558,159,94,110,158,4,2.5,2,1,0,0,486.018537478208,1,4
12634,11,6,1-11-2019-006-10,10,1,270,478,178,1500,151,98,110,150,6,3.5,2,1,0,0,22176.1474139505,8,4
12640,23,8,1-23-2019-008-06,6,1,277,489,185,1539,159,102,108,155,4,2.4,2,1,0,0,491.309035992908,5,4
12641,23,9,1-23-2019-009-07,7,1,269,449,184,1872,154,75,106,160,6,3.7,2,3,0,0,1611.99152389581,5,4
12645,32,7,1-32-2019-007-03,3,1,266,456,185,1560,157,90,100,154,4,2.5,2,1,0,0,1393.75085526506,7,4
12646,32,8,1-32-2019-008-02,2,1,283,492,185,1400,159,97,113,156,4,1.5,2,1,0,0,56.3288898385412,7,4
12638,77,5,1-77-2019-005-09,9,1,279,480,191,1950,158,91,108,170,6,4.0,2,4,0,0,1202.78711503528,9,4
12647,32,9,1-32-2019-009-06,6,1,275,479,193,2480,162,88,117,164,8,5.0,2,3,0,0,1721.75444866665,7,4
12647,32,9,1-32-2019-009-06,6,2,269,465,180,1495,155,98,98,156,4,2.5,2,1,0,0,1721.75444866665,7,4
12637,77,4,1-77-2019-004-06,6,1,276,473,186,1630,158,95,104,170,5,2.5,2,4,9,0,474.784936911915,9,4
12637,77,4,1-77-2019-004-06,6,2,280,484,183,1454,160,97,108,150,4,2.4,2,1,0,0,474.784936911915,9,4
12647,32,9,1-32-2019-009-06,6,3,274,481,184,1623,157,101,106,160,6,3.2,2,1,0,0,1721.75444866665,7,4
12650,27,3,1-27-2019-003-06,6,1,253,413,177,1430,152,84,75,152,4,1.6,2,4,0,0,517.528505527565,3,4
12650,27,3,1-27-2019-003-06,6,2,303,509,197,1870,168,98,108,170,6,3.3,2,1,0,0,517.528505527565,3,4
12643,54,3,1-54-2019-003-09,9,1,276,502,185,1603,158,106,121,140,6,3.0,2,1,0,0,181.918296994327,9,4
12643,54,3,1-54-2019-003-09,9,2,268,476,178,1387,153,98,110,148,4,2.3,2,1,0,0,181.918296994327,9,4
12655,66,6,1-66-2019-006-07,7,1,268,461,180,1407,154,97,96,150,4,1.4,2,1,0,0,200.514962439204,6,4
12652,48,3,1-48-2019-003-07,7,1,277,485,182,1542,156,102,106,145,4,2.4,2,1,0,0,1101.68508953049,12,4
12648,66,4,1-66-2019-004-04,4,1,257,400,173,1247,150,76,68,133,3,1.5,2,1,9,0,170.057028217546,6,4
12648,66,4,1-66-2019-004-04,4,2,268,460,180,1399,155,96,96,150,4,1.8,2,1,0,0,170.057028217546,6,4
12654,31,4,1-31-2019-004-03,3,1,272,481,180,1500,156,94,115,140,4,2.4,2,1,0,0,227.270424528455,6,4
