CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
12488,11,3,1-11-2019-003-07,7,3,11,0,8,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,12,9,8,5501.90113032407,8,4
12491,24,2,1-24-2019-002-04,4,1,1,1,9,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,2,0,8,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,3,1,2,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,4,1,1,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,5,1,2,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,6,1,2,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,7,1,2,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,8,1,9,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,9,1,2,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,10,1,9,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,11,1,9,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,12,1,9,2281.57338463435,1,4
12493,77,2,1-77-2019-002-04,4,1,1,1,2,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,2,0,8,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,3,0,8,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,4,1,1,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,5,1,2,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,6,1,9,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,7,1,9,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,8,1,9,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,9,1,9,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,10,1,2,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,11,1,9,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,12,1,9,3480.14600733742,9,4
12495,28,1,1-28-2019-001-07,7,1,1,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,2,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,3,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,4,1,2,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,5,0,8,188.933692908723,3,4
