CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
20616,32,9,1-32-2021-009-02,2,2,1,3,1st Prior Event,1,16613,0,97,9997.0000,1,9997.0000,-21.2520,147.0000,997.0000,9997.0000,82.2565401852226,7,6
20616,32,9,1-32-2021-009-02,2,2,1,4,2nd Prior Event,1,16613,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,82.2565401852226,7,6
20618,32,11,1-32-2021-011-03,3,1,1,4,3rd Prior Event,97,4943,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,858.959011075502,7,6
20618,32,11,1-32-2021-011-03,3,1,1,1,Most Recent Event,95,5937,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,858.959011075502,7,6
20618,32,11,1-32-2021-011-03,3,1,1,2,1st Prior Event,1,5937,0,97,9997.0000,1,9997.0000,-23.1840,115.5000,997.0000,9997.0000,858.959011075502,7,6
20618,32,11,1-32-2021-011-03,3,1,1,3,2nd Prior Event,1,5937,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,858.959011075502,7,6
20629,32,12,1-32-2021-012-05,5,2,1,4,3rd Prior Event,97,3985,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,107.120313128306,7,6
20629,32,12,1-32-2021-012-05,5,2,1,5,4th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,107.120313128306,7,6
20629,32,12,1-32-2021-012-05,5,2,1,2,1st Prior Event,1,9214,0,97,9997.0000,1,9997.0000,41.6990,180.0000,997.0000,9997.0000,107.120313128306,7,6
20629,32,12,1-32-2021-012-05,5,2,1,1,Most Recent Event,95,9214,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,107.120313128306,7,6
20629,32,12,1-32-2021-012-05,5,2,1,3,2nd Prior Event,1,9214,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,107.120313128306,7,6
20715,32,17,1-32-2021-017-03,3,1,1,1,Event Record 1,1,3882,0,1,9997.0000,1,9997.0000,-12.8800,120.0000,-19.3200,130.0000,596.726551605439,7,6
20715,32,17,1-32-2021-017-03,3,2,1,1,First Record,1,18698,0,1,9997.0000,1,9997.0000,-22.1053,138.0000,-1.4490,36.0000,596.726551605439,7,6
20746,32,18,1-32-2021-018-04,4,1,1,4,3rd Prior Event,97,6988,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,1,1,2,1st Prior Event,95,7783,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,1,1,3,2nd Prior Event,1,7783,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,1,1,1,Most Recent Event,2,7783,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,2,1,3,2nd Prior Event,97,3078,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,2,1,2,1st Prior Event,1,4373,0,97,9997.0000,1,9997.0000,-13.2020,77.0000,997.0000,9997.0000,2125.21883869079,7,6
20746,32,18,1-32-2021-018-04,4,2,1,1,Most Recent Event,1,4373,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2125.21883869079,7,6
20858,32,20,1-32-2021-020-07,7,1,1,4,2nd Prior Event,97,15279,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,8562.52098189279,7,6
20858,32,20,1-32-2021-020-07,7,1,1,3,1st Prior Event,1,15741,0,97,9997.0000,1,9997.0000,-21.7350,133.5000,997.0000,9997.0000,8562.52098189279,7,6
