CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
23775,23,119,1-23-2021-119-03,3,1,270,461,186,1839,157,98,93,999,6,3.2,2,3,9,0,362.20434030687,5,6
23775,23,119,1-23-2021-119-03,3,2,270,467,180,1250,156,98,99,999,4,1.4,2,1,9,0,362.20434030687,5,6
23776,23,120,1-23-2021-120-06,6,2,280,493,185,1468,157,100,114,999,4,2.4,9,1,9,0,639.249282122222,5,6
23777,77,87,1-77-2021-087-02,2,2,267,463,182,1610,157,97,99,999,4,2.5,2,4,9,0,145.906571911732,9,6
23777,77,87,1-77-2021-087-02,2,1,258,439,170,1218,152,83,98,150,4,1.6,2,1,0,0,145.906571911732,9,6
23778,77,88,1-77-2021-088-05,5,1,281,464,183,1617,157,79,104,150,4,2.0,2,2,0,0,336.353359918198,9,6
23779,54,72,1-54-2021-072-10,10,1,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,3701.38045996136,9,6
23779,54,72,1-54-2021-072-10,10,2,260,453,170,1135,146,94,100,150,4,1.8,1,1,0,1,3701.38045996136,9,6
23780,59,62,1-59-2021-062-02,2,1,304,508,193,2262,163,86,118,165,99,99.0,2,4,0,1,75.8834802674981,6,6
23780,59,62,1-59-2021-062-02,2,2,257,414,180,1346,158,83,73,160,99,99.0,2,1,0,1,75.8834802674981,6,6
23781,59,63,1-59-2021-063-02,2,2,999,999,999,9999,999,999,999,160,6,3.5,2,4,1,1,75.8834802674981,6,6
23781,59,63,1-59-2021-063-02,2,1,265,436,183,1327,154,90,82,156,4,99.0,2,1,0,1,75.8834802674981,6,6
23782,22,96,1-22-2021-096-08,8,1,295,505,200,2527,167,96,116,180,8,6.0,2,4,0,0,137.336074115051,12,6
23782,22,96,1-22-2021-096-08,8,2,331,534,187,2048,156,91,112,999,6,4.0,2,2,0,0,137.336074115051,12,6
23783,12,54,1-12-2021-054-06,6,1,302,513,201,2168,171,100,112,170,6,3.6,2,1,0,0,443.560564482958,9,6
