CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
21900,26,64,1-26-2021-064-02,2,1,2130,1100,1075,P235/60R18,230,P235/60R18,210,,,,,,,,,53.1651382991051,10,6
21901,26,65,1-26-2021-065-02,2,1,2473,1275,1275,P275/40R20,220,P275/40R20,220,,,,,,,,,53.1651383053672,10,6
21892,29,39,1-29-2021-039-03,3,1,2430,1300,1340,P225/70R16,210,P225/70R16,210,,,,,,,,,63.1877399774564,2,6
21892,29,39,1-29-2021-039-03,3,2,2715,1405,1405,P235/55R18,250,P235/55R18,250,,,,,,,,,63.1877399774564,2,6
21899,33,10,1-33-2021-010-01,1,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,31.3831768207243,12,6
21889,19,76,1-19-2021-076-03,3,1,2631,1407,1407,LT285/70R17,255,LT285/70R17,255,,,,,,,,,104.756539641498,9,6
21899,33,10,1-33-2021-010-01,1,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,31.3831768207243,12,6
21895,20,53,1-20-2021-053-07,7,1,1830,989,871,P195/65R15,210,P195/65R15,210,,,,,,,,,581.306639126288,11,6
21897,20,55,1-20-2021-055-06,6,1,1489,905,835,P205/55R16,230,P205/55R16,230,,,,,,,,,155.892149888987,11,6
21908,21,72,1-21-2021-072-09,9,1,1917,998,919,P195/65R15,240,P195/65R15,240,P205/55R16,240,P205/55R16,240,,,,,1993.02962612011,11,6
21890,19,77,1-19-2021-077-01,1,1,2070,1050,1040,P225/65R17,210,P225/65R17,210,,,,,,,,,54.6039151382465,9,6
21905,21,69,1-21-2021-069-09,9,1,1800,980,960,P205/50R16,210,P205/50R16,210,,,,,,,,,1993.02962581376,11,6
21906,21,70,1-21-2021-070-02,2,1,3266,1792,1792,P275/55R20,240,P275/55R20,240,,,,,,,,,14.4868019053708,11,6
21906,21,70,1-21-2021-070-02,2,2,2246,1275,1275,9999999999,999,9999999999,999,,,,,,,,,14.4868019053708,11,6
21907,21,71,1-21-2021-071-02,2,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,14.4868019053708,11,6
21907,21,71,1-21-2021-071-02,2,2,1795,955,850,P215/55R16,220,P215/55R16,220,,,,,,,,,14.4868019053708,11,6
21716,23,39,1-23-2021-039-05,5,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,82.040189879216,5,6
21630,23,37,1-23-2021-037-03,3,2,9999,9999,1415,P235/65R18,228,P235/65R18,228,,,,,,,,,240.73312705204,5,6
21855,11,28,1-11-2021-028-08,8,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1502.46707924741,8,6
21910,33,11,1-33-2021-011-03,3,2,1554,794,775,P185/65R15,230,P185/65R15,230,,,,,,,,,204.85333640063,12,6
21911,31,35,1-31-2021-035-10,10,1,1923,980,979,P215/55R16,210,P215/55R16,210,,,,,,,,,255.507439927165,6,6
21912,29,40,1-29-2021-040-03,3,1,2545,1380,1490,P265/65R17,200,P265/65R17,200,,,,,,,,,63.1877399774564,2,6
21548,23,33,1-23-2021-033-02,2,1,2150,1100,1075,P235/60R18,999,P235/60R18,999,,,,,,,,,66.3082507877633,5,6
21548,23,33,1-23-2021-033-02,2,2,3901,1873,2300,P235/65R16,360,P235/65R16,440,,,,,,,,,66.3082507877633,5,6
21915,13,39,1-13-2021-039-03,3,1,2722,1350,1450,P235/65R18,240,P235/65R18,240,,,,,,,,,778.347158054909,7,6
21915,13,39,1-13-2021-039-03,3,2,2430,1250,1250,P215/70R15,240,P215/70R15,240,,,,,,,,,778.347158054909,7,6
21913,20,56,1-20-2021-056-03,3,1,2130,1100,1040,P235/60R18,230,P235/60R18,210,,,,,,,,,77.3376883531773,11,6
21913,20,56,1-20-2021-056-03,3,2,1780,990,910,P205/55R16,250,P205/55R16,250,,,,,,,,,77.3376883531773,11,6
21909,30,41,1-30-2021-041-03,3,2,2080,1200,1150,P225/60R17,240,P225/60R17,240,,,,,,,,,504.481757700544,10,6
21914,25,45,1-25-2021-045-04,4,2,1758,972,853,P205/55R16,230,P205/55R16,230,,,,,,,,,1118.81192145062,2,6
21920,59,24,1-59-2021-024-02,2,2,2747,1339,1452,P235/65R17,250,P235/65R17,250,,,,,,,,,64.7976556419355,6,6
21921,59,25,1-59-2021-025-05,5,1,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,78.3025960487807,6,6
21918,54,24,1-54-2021-024-06,6,1,1972,1061,911,P235/45R18,210,P235/45R18,220,,,,,,,,,160.580971053283,9,6
21925,12,10,1-12-2021-010-03,3,1,2205,1150,1250,P225/55R18,240,P225/55R18,240,,,,,,,,,367.285524348266,9,6
21924,12,9,1-12-2021-009-04,4,1,3221,1724,1724,P275/60R20,240,P275/60R20,240,,,,,,,,,1169.85571526022,9,6
21923,17,42,1-17-2021-042-03,3,1,2100,1175,1200,P225/65R17,240,P225/65R17,240,,,,,,,,,891.308293714393,4,6
21923,17,42,1-17-2021-042-03,3,2,2390,1400,1300,P245/50R20,220,P245/50R20,220,,,,,,,,,891.308293714393,4,6
21922,17,41,1-17-2021-041-05,5,1,2052,1109,943,P225/60R16,210,P225/60R16,210,,,,,,,,,111.15457465114,4,6
21922,17,41,1-17-2021-041-05,5,2,2715,1405,1405,P235/60R17,240,P235/60R17,240,,,,,,,,,111.15457465114,4,6
21929,48,38,1-48-2021-038-10,10,1,3266,1633,1814,P265/70R17,220,P265/70R17,220,,,,,,,,,635.387341768078,12,6
21931,24,69,1-24-2021-069-02,2,1,2949,1452,1679,P265/50R20,230,P265/50R20,250,,,,,,,,,96.2126014946297,1,6
21932,24,70,1-24-2021-070-03,3,1,2095,1150,980,P245/40R19,220,P245/40R19,220,,,,,,,,,100.980769831338,1,6
21930,48,39,1-48-2021-039-03,3,1,2159,1125,1040,P235/55R17,240,P235/55R17,240,,,,,,,,,84.1490119370097,12,6
21930,48,39,1-48-2021-039-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,84.1490119370097,12,6
21933,24,71,1-24-2021-071-07,7,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,619.753585044563,1,6
21927,11,29,1-11-2021-029-01,1,1,1851,996,889,9999999999,999,9999999999,999,,,,,,,,,164.025412823488,8,6
21934,24,72,1-24-2021-072-04,4,1,1733,913,820,P205/55R16,240,P205/55R16,240,,,,,,,,,363.05909700145,1,6
21941,28,34,1-28-2021-034-01,1,1,2903,1497,1701,P245/70R17,240,P245/70R17,240,,,,,,,,,49.2071087049636,3,6
21941,28,34,1-28-2021-034-01,1,2,4536,2359,2812,LT265/60R20,420,LT265/60R20,520,,,,,,,,,49.2071087049636,3,6
21942,28,35,1-28-2021-035-10,10,1,2773,1279,1588,P265/60R18,240,P265/60R18,240,,,,,,,,,211.728240831901,3,6
21935,52,82,1-52-2021-082-03,3,1,3130,1770,1770,P265/70R17,276,P265/70R17,276,,,,,,,,,36.9611807922967,12,6
21943,25,46,1-25-2021-046-09,9,1,2560,1360,1385,P235/60R18,220,P235/60R18,220,,,,,,,,,889.494359690718,2,6
21947,76,31,1-76-2021-031-03,3,1,2400,1295,1425,P245/50R20,240,P245/50R20,240,,,,,,,,,33.3783794338651,3,6
21937,52,84,1-52-2021-084-03,3,1,1685,928,757,P205/55R16,240,P205/55R16,240,,,,,,,,,36.9611807922967,12,6
21947,76,31,1-76-2021-031-03,3,2,2085,1150,1150,P235/55R18,220,P235/55R18,220,,,,,,,,,33.3783794338651,3,6
21948,76,32,1-76-2021-032-01,1,1,1941,912,1029,9999999999,138,9999999999,179,,,,,,,,,18.7511904956082,3,6
21944,25,47,1-25-2021-047-04,4,1,1890,988,902,P215/55R17,220,P215/55R17,210,,,,,,,,,444.204278240274,2,6
21936,52,83,1-52-2021-083-09,9,1,2727,1633,1633,P245/70R16,240,P245/70R16,240,,,,,,,,,220.66525668185,12,6
21945,73,40,1-73-2021-040-05,5,1,3266,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,36.6836542679149,3,6
21936,52,83,1-52-2021-083-09,9,2,1870,1010,870,P195/65R15,207,P195/65R15,207,,,,,,,,,220.66525668185,12,6
21953,32,66,1-32-2021-066-04,4,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,6925.87801188849,7,6
21952,32,65,1-32-2021-065-06,6,1,2141,1055,1107,P255/40R19,220,P275/40R19,220,,,,,,,,,3432.12535940542,7,6
21946,73,41,1-73-2021-041-03,3,2,2041,1089,975,P235/45R18,240,P235/45R18,240,,,,,,,,,93.3552679333606,3,6
21955,31,37,1-31-2021-037-04,4,2,1758,972,853,P205/55R16,230,P205/55R16,230,,,,,,,,,223.387528164507,6,6
21954,31,36,1-31-2021-036-05,5,2,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,208.592833680532,6,6
21956,27,43,1-27-2021-043-07,7,2,2225,1130,1155,P245/40R18,250,P245/40R18,260,,,,,,,,,170.651245948064,3,6
21958,66,36,1-66-2021-036-09,9,1,2721,1542,1451,P235/70R16,241,P235/70R16,241,,,,,,,,,436.262932375246,6,6
21959,66,37,1-66-2021-037-09,9,1,2608,1338,1452,P245/65R17,220,P245/65R17,220,,,,,,,,,436.262932375246,6,6
21959,66,37,1-66-2021-037-09,9,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,436.262932375246,6,6
21964,18,37,1-18-2021-037-04,4,1,2490,1350,1395,P235/65R17,235,P235/65R17,235,,,,,,,,,590.941840496502,6,6
21965,18,38,1-18-2021-038-07,7,1,3175,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,972.565026983545,6,6
21966,29,41,1-29-2021-041-07,7,2,3266,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,641.952970441435,2,6
21951,23,49,1-23-2021-049-03,3,2,2730,1320,1515,P235/65R17,999,P235/65R17,999,,,,,,,,,215.305786452814,5,6
21967,29,42,1-29-2021-042-06,6,2,1860,1020,920,P235/45R18,230,P235/45R18,230,,,,,,,,,222.771909995818,2,6
21973,20,57,1-20-2021-057-03,3,1,2575,1300,1420,P225/65R17,220,P225/65R17,220,,,,,,,,,160.611592457206,11,6
21973,20,57,1-20-2021-057-03,3,2,2390,1232,1300,P215/55R16,300,P215/55R16,330,,,,,,,,,160.611592457206,11,6
21974,20,58,1-20-2021-058-07,7,1,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,1207.23268310855,11,6
21968,19,78,1-19-2021-078-09,9,1,2017,1103,914,P225/50R17,210,P225/50R17,210,,,,,,,,,1389.20107560057,9,6
21975,20,59,1-20-2021-059-05,5,1,1645,880,775,P205/55R16,220,P205/55R16,220,,,,,,,,,41.7682909515469,11,6
21985,26,71,1-26-2021-071-02,2,1,2041,1089,975,P235/50R17,230,P235/50R17,230,,,,,,,,,14.4738277659613,10,6
21969,19,79,1-19-2021-079-01,1,1,2495,1293,1339,P215/70R15,250,P215/70R15,250,,,,,,,,,54.6039151382465,9,6
21969,19,79,1-19-2021-079-01,1,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,54.6039151382465,9,6
21984,26,70,1-26-2021-070-02,2,1,1815,980,845,P215/45R18,230,P215/45R18,230,,,,,,,,,14.4738277659613,10,6
21919,54,25,1-54-2021-025-07,7,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,426.938933381016,9,6
21919,54,25,1-54-2021-025-07,7,2,1760,980,910,P205/55R16,230,P205/55R16,230,,,,,,,,,426.938933381016,9,6
21970,19,80,1-19-2021-080-04,4,1,2030,1188,1098,P235/45R18,240,P235/45R18,240,,,,,,,,,756.611516418239,9,6
21963,26,69,1-26-2021-069-03,3,2,1720,990,950,P205/55R16,230,P205/55R16,230,,,,,,,,,318.493810250174,10,6
21961,26,67,1-26-2021-067-05,5,1,2036,1040,1027,P225/65R17,230,P225/65R17,230,,,,,,,,,33.3087181325181,10,6
