CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
24119,76,82,1-76-2021-082-10,10,1,887,887,320,887,887,887,887,320,887,887,49,887,129,887,887,887,887,887,887,887,887,887,887,887,887,183,588.672951793917,3,6
24120,52,194,1-52-2021-194-09,9,2,887,887,296,887,887,887,887,305,887,887,39,887,139,887,887,887,887,887,887,887,117,887,887,887,887,887,111.359962233326,12,6
23343,29,78,1-29-2021-078-06,6,1,887,887,887,887,887,887,887,887,887,887,40,887,127,887,887,887,887,887,887,887,887,887,887,887,887,887,122.533832132883,2,6
24122,26,179,1-26-2021-179-05,5,1,887,887,887,887,887,887,887,887,887,887,999,887,122,887,887,50,887,887,887,887,116,887,35,84,887,887,15.6253384433449,10,6
24124,25,109,1-25-2021-109-03,3,1,887,887,999,887,887,887,887,999,887,887,999,887,136,887,887,887,887,887,887,887,129,887,44,89,304,999,156.804552512423,2,6
23345,33,20,1-33-2021-020-09,9,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,121,999,44,76,887,887,778.382591219814,12,6
23347,18,78,1-18-2021-078-07,7,2,887,887,287,887,887,887,887,887,887,887,887,887,116,887,887,887,887,887,14,15,107,887,887,887,887,887,256.798338018674,6,6
23348,21,128,1-21-2021-128-05,5,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,12,12,130,8,35,79,887,887,112.232341792978,11,6
23541,59,58,1-59-2021-058-08,8,2,88,887,264,887,89,88,887,264,887,89,887,887,887,887,887,887,887,887,9,7,113,6,38,86,887,887,256.92037659611,6,6
24330,52,209,1-52-2021-209-03,3,2,887,887,273,887,887,887,887,273,887,887,55,887,887,887,887,887,887,887,9,12,122,887,887,887,887,887,23.9026976809091,12,6
24331,24,193,1-24-2021-193-04,4,1,887,887,887,887,887,887,887,887,887,887,65,70,133,887,887,887,887,169,887,887,127,887,40,91,887,887,208.375109030047,1,6
24332,18,109,1-18-2021-109-07,7,1,887,887,887,887,887,887,887,261,887,887,39,887,124,887,887,887,887,887,13,16,106,887,887,887,887,887,2195.37877526258,6,6
24334,26,189,1-26-2021-189-02,2,1,887,887,887,887,887,887,887,887,887,887,44,887,104,999,999,887,887,166,887,887,107,887,41,88,887,887,14.5546235673295,10,6
24334,26,189,1-26-2021-189-02,2,2,887,887,887,887,887,887,887,887,887,887,999,887,140,999,999,58,887,887,887,887,111,887,37,80,887,887,14.5546235673295,10,6
24338,20,171,1-20-2021-171-06,6,2,887,887,268,887,887,887,887,249,887,887,40,887,122,67,60,887,887,887,10,14,107,887,36,79,887,887,427.448545075123,11,6
24339,20,172,1-20-2021-172-02,2,1,887,887,343,887,887,887,887,365,887,887,50,887,130,72,63,887,887,887,9,10,140,9,45,97,321,189,55.9656336770062,11,6
24339,20,172,1-20-2021-172-02,2,2,887,887,264,887,887,887,887,270,887,887,40,887,115,73,59,47,887,887,887,887,110,887,32,83,887,887,55.9656336770062,11,6
