CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
21769,10,59,1-10-2021-059-03,3,1,1,4,1,1,88,8,88,8,532.842024760529,4,6
21934,24,72,1-24-2021-072-04,4,1,1,1,1,1,88,8,88,8,363.05909700145,1,6
22078,24,80,1-24-2021-080-08,8,1,1,1,1,1,88,8,88,8,320.928419121334,1,6
21592,10,55,1-10-2021-055-03,3,2,1,1,1,1,88,8,88,8,403.813600469961,4,6
21592,10,55,1-10-2021-055-03,3,1,1,1,1,1,88,8,88,8,403.813600469961,4,6
21654,15,53,1-15-2021-053-03,3,2,1,1,1,1,88,8,88,8,14.79430328537,1,6
21654,15,53,1-15-2021-053-03,3,1,1,1,1,1,88,8,88,8,14.79430328537,1,6
21655,15,54,1-15-2021-054-04,4,1,1,1,1,1,88,8,88,8,45.3087816990738,1,6
21683,10,56,1-10-2021-056-06,6,2,1,1,1,1,88,8,88,8,517.487079463534,4,6
21424,10,50,1-10-2021-050-06,6,2,1,1,1,1,88,8,88,8,620.656245333701,4,6
21507,10,52,1-10-2021-052-03,3,1,1,1,1,1,88,8,88,8,348.251416130271,4,6
21508,10,53,1-10-2021-053-07,7,1,1,1,1,1,88,8,88,8,1819.56873908602,4,6
21570,15,50,1-15-2021-050-03,3,1,1,1,1,1,88,8,88,8,39.2214730380943,1,6
21570,15,50,1-15-2021-050-03,3,2,1,1,1,1,88,8,88,8,39.2214730380943,1,6
20317,19,1,1-19-2021-001-04,4,1,1,1,1,1,88,8,88,8,204.388409819903,9,6
20446,19,5,1-19-2021-005-06,6,1,1,1,1,1,88,8,88,8,127.14712417509,9,6
20791,19,24,1-19-2021-024-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
21048,19,35,1-19-2021-035-06,6,1,1,1,1,1,88,8,88,8,159.143369445387,9,6
24147,19,179,1-19-2021-179-03,3,2,1,1,1,1,88,8,88,8,109.085903921109,9,6
24224,19,180,1-19-2021-180-09,9,1,1,1,1,1,88,8,88,8,450.395291789245,9,6
24297,19,184,1-19-2021-184-07,7,1,1,1,1,1,88,8,88,8,750.858026337319,9,6
24427,19,191,1-19-2021-191-09,9,1,1,1,1,1,88,8,88,8,338.830173011636,9,6
23925,19,170,1-19-2021-170-04,4,1,1,1,1,1,88,8,88,8,258.450931126761,9,6
24069,19,174,1-19-2021-174-04,4,2,1,1,1,1,88,8,88,8,639.700835455684,9,6
24070,19,175,1-19-2021-175-08,8,1,1,1,1,1,88,8,88,8,197.961479333402,9,6
24145,19,177,1-19-2021-177-04,4,2,1,1,1,1,88,8,88,8,370.425320976313,9,6
24147,19,179,1-19-2021-179-03,3,3,1,1,1,1,88,8,88,8,109.085903921109,9,6
23709,19,159,1-19-2021-159-01,1,1,1,1,1,1,88,8,88,8,54.6039151382465,9,6
23709,19,159,1-19-2021-159-01,1,2,1,1,1,1,88,8,88,8,54.6039151382465,9,6
23859,19,166,1-19-2021-166-02,2,2,1,1,1,1,88,8,88,8,47.1230765782335,9,6
23859,19,166,1-19-2021-166-02,2,1,1,1,1,1,88,8,88,8,47.1230765782335,9,6
23469,19,144,1-19-2021-144-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
23546,19,148,1-19-2021-148-02,2,2,1,1,1,1,88,8,88,8,47.1230765782335,9,6
23585,19,152,1-19-2021-152-08,8,1,1,1,1,1,88,8,88,8,130.172604546664,9,6
23629,19,154,1-19-2021-154-07,7,2,1,1,1,1,88,8,88,8,543.815098848832,9,6
23295,19,136,1-19-2021-136-05,5,1,1,1,1,1,88,8,88,8,49.3818731390809,9,6
23384,19,141,1-19-2021-141-04,4,2,1,1,1,1,88,8,88,8,433.301370894092,9,6
23386,19,143,1-19-2021-143-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
22897,19,119,1-19-2021-119-03,3,2,1,1,1,1,88,8,88,8,268.128682126203,9,6
22977,19,122,1-19-2021-122-06,6,2,1,1,1,1,88,8,88,8,359.405231153169,9,6
23219,19,134,1-19-2021-134-07,7,1,1,1,1,1,88,8,88,8,447.192934500867,9,6
23219,19,134,1-19-2021-134-07,7,2,1,1,1,1,88,8,88,8,447.192934500867,9,6
22237,19,92,1-19-2021-092-04,4,2,1,1,1,1,88,8,88,8,495.368287952385,9,6
22665,19,109,1-19-2021-109-10,10,2,1,1,1,1,88,8,88,8,2338.60600646098,9,6
21970,19,80,1-19-2021-080-04,4,1,1,1,1,1,88,8,88,8,756.611516418239,9,6
22040,19,81,1-19-2021-081-08,8,1,1,1,1,1,88,8,88,8,419.600962768099,9,6
22041,19,82,1-19-2021-082-01,1,2,1,1,1,1,88,8,88,8,54.6039151382465,9,6
22184,19,87,1-19-2021-087-04,4,1,1,1,1,1,88,8,88,8,197.579008281252,9,6
21478,19,56,1-19-2021-056-03,3,2,1,1,1,1,88,8,88,8,97.8905713512993,9,6
21726,19,67,1-19-2021-067-02,2,1,1,1,1,1,88,8,88,8,47.1230765782335,9,6
21727,19,68,1-19-2021-068-06,6,1,1,1,1,1,88,8,88,8,214.865014550972,9,6
21887,19,74,1-19-2021-074-08,8,1,1,1,1,1,88,8,88,8,110.082161386268,9,6
21890,19,77,1-19-2021-077-01,1,1,1,1,1,1,88,8,88,8,54.6039151382465,9,6
21306,19,48,1-19-2021-048-02,2,2,1,1,1,1,88,8,88,8,131.260710422951,9,6
21397,19,51,1-19-2021-051-06,6,1,1,1,1,1,88,8,88,8,280.190705466206,9,6
21397,19,51,1-19-2021-051-06,6,2,1,1,1,1,88,8,88,8,280.190705466206,9,6
21398,19,52,1-19-2021-052-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
